Year,E13A1,E13A2,E16N3B,E16N4,E16N7A,E16E7,E16ExA,E16S8,F16S6A,G12N9B,G12W5,G12W7,G13E6B,G13E1,G14N10,G14S8,G15E9A,H11N2,H11N3A,H11N5,H11S9,H11W1,H11W2,H11W3,H11W4,H11W7,H12E2B,H12S1A,H13N3,H15N9,H15N10A,H15S2,H15W9,H151B,I11S8A,I11S10,I12W6,I12E1B,I13S5,I13W9,I13E6A,J11S2,J12N2,J12W9,J13E5,J14E3,K11S8A,K11S8A1,K13E6,K14N2A,K14N21,K14Ex1,K14Ex3,L13N7,L13S2,L13S3,L13S6,L13W10
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.101,NA,NA,NA,0.695,NA,0.519,0.68,NA,NA,0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.672,NA,NA,NA,0.719,NA,0.471,0.726,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.482,NA,NA,NA,0.914,NA,0.778,0.68,NA,NA,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,NA,NA,NA,NA,NA,NA,NA,0.469,NA,NA,NA,NA,NA,NA,1.587,NA,NA,NA,0.58,NA,0.76,0.985,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,1.093,NA,NA,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA,2.096,NA,NA,NA,0.743,NA,0.777,0.773,NA,NA,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,0.876,NA,NA,NA,0.892,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,1.778,NA,NA,NA,0.843,NA,0.54,0.873,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA,NA,0.822,NA,NA,NA,NA,1.428,NA,NA,NA,NA,0.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,0.866,NA,NA,NA,1.246,NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,1.227,NA,NA,NA,0.796,NA,0.383,0.683,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,1.144,NA,NA,NA,3.112,1.937,1.167,NA,NA,NA,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,0.825,NA,NA,NA,1.155,0.492,NA,NA,0.635,NA,NA,NA,NA,NA,NA,1.927,NA,NA,NA,0.666,NA,0.426,0.841,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,1.032,NA,NA,NA,3.133,1.953,1.591,NA,NA,NA,0.643,0.552,NA,NA,NA,NA,NA,0.445,NA,NA,NA,NA,NA,NA
1916,0.929,NA,NA,NA,0.921,0.54,NA,NA,0.365,NA,NA,NA,NA,NA,NA,1.481,NA,NA,NA,1.313,NA,0.571,0.834,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,2.5,0.653,NA,NA,NA,2.239,1.889,1.405,NA,NA,NA,0.516,0.664,NA,NA,NA,NA,NA,0.976,NA,NA,NA,NA,NA,NA
1917,0.841,NA,NA,NA,0.857,0.572,NA,NA,0.595,NA,NA,NA,NA,NA,NA,1.164,NA,NA,NA,1.005,NA,0.455,0.531,NA,NA,0.183,NA,NA,NA,NA,NA,0.37,NA,1.583,0.817,NA,NA,NA,1.714,1.714,1.111,NA,NA,NA,0.516,0.523,NA,NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA
