Year,Q8N10,Q9E4A,Q9E7,Q9S1,R9N1,R9N2A,R9N3A,R9N4B,R9N5A,R9N10A,R9E2,R9S2,R9S3,R9W10,R10E3,S9S5,S10N9A,S10N10,S10E3B,S10E9A,S10S3,S10S8,S11Ex1A,T7N4,T8N6,T8E2,T8E4,T8E5,T8E6,T8S2,T9N1,T9N9,T9E5A,T9S5,T9W2B,T9W3A,T10N9,T12N3,T12N6,T12N8,T12E1,T12E4,T12E6,U8N8,U8W8,U11W3,U12N7,U12N10,U12E5,U12W1,W9E10,W10N10,W10S2,W10S10
1908,NA,NA,NA,NA,NA,NA,NA,0.81,NA,1.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,1.583,NA,NA,NA,NA,NA,NA,NA,NA,1.063,NA,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,1.181,NA,1.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973,NA,NA,1.193,1.441,NA,NA,NA,NA,NA,NA,NA,0.957,0.909,NA,NA,NA,NA,NA,NA,NA,NA
1910,NA,NA,NA,NA,NA,NA,NA,1.018,NA,1.49,NA,NA,NA,NA,NA,NA,NA,NA,1.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572,NA,1.83,1.032,1.12,NA,NA,NA,NA,NA,NA,NA,0.769,1.208,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,NA,NA,NA,NA,NA,NA,1.299,NA,1.62,NA,NA,NA,NA,NA,NA,NA,1.187,1.653,NA,NA,NA,2.183,NA,1.326,NA,NA,0.783,NA,NA,NA,NA,0.762,NA,1.529,1.797,1.431,NA,NA,NA,NA,NA,NA,NA,0.571,1.44,NA,NA,NA,NA,NA,NA,NA,NA
1912,NA,NA,NA,NA,NA,NA,NA,1.397,NA,1.291,NA,NA,NA,NA,NA,NA,NA,1.165,1.852,1.081,NA,NA,2.289,NA,1.034,NA,0.757,0.72,NA,NA,NA,NA,0.847,NA,1.556,1.445,1.218,NA,NA,NA,NA,NA,NA,NA,0.635,1.63,NA,NA,NA,NA,NA,1.132,NA,NA
1913,NA,NA,NA,NA,NA,NA,NA,0.375,NA,0.042,NA,NA,NA,NA,NA,NA,NA,0.657,1.524,0.546,NA,NA,2.239,NA,1.314,NA,0.976,0.698,NA,NA,NA,NA,0.741,NA,0.744,1.186,1.051,NA,NA,NA,NA,1.704,NA,NA,0.403,1.333,NA,NA,1.333,NA,NA,0.991,NA,NA
1914,NA,NA,NA,0.339,NA,NA,NA,0.577,NA,0.212,NA,NA,NA,NA,NA,NA,NA,1.227,2.192,0.757,NA,1.172,2.561,NA,1.658,NA,1.238,0.974,NA,NA,NA,NA,0.91,1.592,1.335,1.481,1.29,NA,NA,NA,NA,1.587,1.06,NA,0.635,1.249,NA,NA,1.736,NA,NA,1.381,NA,1.525
1915,NA,NA,NA,0.423,1.793,NA,NA,0.783,NA,0.36,NA,NA,NA,NA,NA,NA,NA,0.965,2.453,0.74,1.856,1.033,2.437,NA,1.216,NA,1.368,1.207,NA,NA,NA,NA,1.016,1.064,1.27,1.757,1.716,NA,NA,NA,NA,2.074,0.998,NA,0.592,1.27,NA,NA,1.827,NA,NA,1.399,NA,1.14
1916,1.431,0.529,NA,0.402,1.984,NA,0.669,0.997,2.008,0.593,1.399,NA,NA,NA,NA,NA,NA,1.125,1.847,1.011,1.543,1.192,2.096,NA,0.407,NA,1.084,1.249,NA,NA,1.336,1.273,1.058,1.155,1.482,1.397,1.926,NA,NA,NA,1.367,2.159,0.884,1.061,0.868,1.334,NA,NA,1.552,NA,NA,1.405,NA,1.113
1917,1.241,0.806,NA,0.529,1.465,NA,0.909,0.932,1.209,0.656,1.566,NA,0.887,NA,NA,NA,NA,0.91,1.715,1.001,1.636,0.919,2.074,NA,0.426,NA,0.72,0.91,NA,NA,0.991,0.984,0.91,0.643,1.335,1.207,1.587,1.204,NA,NA,1.129,1.63,0.759,0.787,0.593,1.291,NA,NA,1.375,NA,NA,1.198,NA,0.549
1918,1.94,0.699,NA,0.445,1.838,NA,1.995,1.27,1.81,0.973,1.977,NA,1.012,NA,NA,NA,NA,0.911,1.947,1.129,2.076,1.637,2.117,NA,1.383,NA,1.1,1.143,NA,NA,0.952,1.031,1.672,0.811,1.652,1.735,1.863,1.438,NA,NA,1.609,2.921,0.92,0.939,1.079,1.397,NA,NA,1.748,NA,NA,1.545,NA,1.258
1919,1.935,1.059,NA,0.719,2.12,NA,2.29,1.756,2.586,1.101,2.634,NA,1.376,NA,NA,1.993,5.056,1.121,2.393,1.018,1.947,1.988,1.947,NA,1.424,NA,1.101,0.825,NA,NA,1.031,1.006,1.27,1.263,1.651,1.63,2.159,1.702,1.306,1.232,1.493,2.371,1.17,1.205,1.757,0.889,NA,NA,1.754,NA,NA,1.757,2.042,1.793
1920,2.096,1.291,NA,0.762,3.008,NA,2.116,1.778,2.772,1.122,2.413,NA,1.164,NA,NA,1.832,4.002,1.694,2.455,1.481,2.561,2.053,1.969,NA,1.539,NA,1.164,0.783,NA,NA,0.958,1.024,1.44,1.799,1.608,1.588,2.053,1.353,1.207,1.173,1.49,2.963,1.093,0.823,1.143,0.783,NA,0.436,2.045,NA,1.216,2.137,2.304,1.736
1921,2.307,2.392,NA,0.995,2.394,NA,2.305,1.609,2.507,1.439,2.583,NA,1.714,NA,NA,1.997,2.679,1.418,1.566,1.249,2.053,2.159,1.926,NA,1.382,NA,2.265,1.016,NA,NA,1.333,1.219,1.122,1.27,1.948,1.502,1.842,1.034,1.725,1.127,1.462,3.196,0.985,1.304,0.995,0.973,NA,0.712,3.95,NA,1.063,2.456,2.759,2.159
1922,1.693,1.629,NA,1.397,2.625,NA,2.9,1.799,2.624,1.609,2.243,NA,1.355,NA,NA,1.863,2.558,1.651,1.376,1.101,1.716,1.715,2.286,1.706,1.368,NA,1.651,1.249,NA,NA,1.102,1.066,1.418,1.016,1.989,1.567,1.989,1.089,1.083,1.442,1.604,3.154,0.981,1.333,1.037,1.038,NA,0.858,3.199,NA,0.961,1.905,2.414,1.355
1923,2.329,1.673,NA,1.588,2.265,NA,4.022,2.371,1.969,2.074,2.307,NA,1.99,NA,NA,2.434,2.724,1.799,2.223,1.693,2.455,1.884,2.582,2.019,1.969,NA,1.99,1.778,NA,1.46,1.672,1.356,2.328,1.947,2.456,1.714,2.858,1.74,1.636,1.717,2.143,3.704,1.085,1.08,1.736,0.889,NA,1.27,4.36,NA,1.35,2.307,2.751,1.778
1924,1.735,1.481,1.111,1.545,1.862,NA,3.259,1.99,1.524,1.99,2.287,NA,2.434,NA,NA,1.884,3.196,1.27,1.883,0.995,2.328,1.777,2.159,1.996,1.821,0.723,1.651,1.926,NA,1.609,1.249,1.291,1.841,2.117,2.053,1.884,2.752,1.466,1.767,1.503,1.587,2.941,1.313,0.698,1.354,0.804,NA,1.394,3.599,NA,1.402,1.947,2.265,1.206
1925,1.842,2.286,1.48,2.074,3.218,NA,3.959,2.137,2.053,1.524,2.709,NA,2.201,NA,NA,2.222,2.71,1.185,2.011,1.228,2.477,1.503,1.482,1.62,2.209,0.797,1.693,1.948,NA,1.355,1.333,0.846,1.525,1.715,2.73,1.905,2.434,1.486,1.611,1.228,1.842,3.598,1.143,0.826,1.228,0.72,NA,1.068,2.794,NA,2.251,2.096,2.244,1.672
