Site Code,LAT,LON,STATECD,Plot,Plot Direction,Tree #,CORE #,ID,Species,DBH,LIVE / DEAD,BASAL AREA,#Rings To Pith,Inner Ring Date,Est. Pith Date,Outer Ring date,Estimated Age,"Method Used For Estimating  # Rings to Pith (P,M or O)",Bark Date (Y or N),Full Arcs (Y or N),Core Quality (Qualtative Assessment),Core Obtained (Y or N)?,Comments,Spc Identified From Core,PITH,DAMAGE,CROWN CLASS,TREE HEIGHT (M),CBH (FT),PIAL EMERGENT,PIAL SAPLING,SPLIT TOP,SPLIT BASE,BLUE STAIN,FIRE SCAR,SNAG,STUMP,LOG,RING COUNT,Measured Ring Widths,Arc Length,Arc Height,Average of 10 rings,Estimated Distance to Radius,Subtract,Occular or Measured Estimate of #Rings to Pith,Field Notes
3LK,47.2798,-114.5403,30,E13A,1,,,E13A1,PIAL,26.1,LIVE,0.053502233,0,1911,1911,2016,106,P,Y,Y,GP,Y,,,1,,,,,,,,,,,,,,,1,,,,#DIV/0!,,0,
3LK,47.2798,-114.5403,30,E13A,2,A,1,E13A2,PIAL,17.2,LIVE,0.023235274,2,1943,1941,2016,76,M,Y,Y,G5,Y,,,,,,,,,,,,,,,,,,1,10.05,3.29,0.865,5.48,4,2,
3LK,47.2798,-114.5403,30,E16,N,3,B,E16N3B,PIAL,15.8,LIVE,0.019606726,6,1922,1916,2016,101,O,Y,Y,G5,Y,Confirmed with Occular Estimate,,,X (1924),INT,11.1,12,,,,,,,,,,,1,15.52,4.3,0.996,9.15,4,6,
3LK,47.2798,-114.5403,30,E16,N,4,,E16N4,PIAL,15.5,LIVE,0.018869235,0,1921,1921,2016,96,P,Y,Y,GP,Y,,,1,,CO,9.8,9,1,,,,,,,,,,1,,,,#DIV/0!,,0,
3LK,47.2798,-114.5403,30,E16,N,7,A,E16N7A,PIAL,20.6,LIVE,0.033329234,3,1912,1909,2016,108,M,Y,Y,G5,Y,,,,,CO,11.4,20,,,,,,,,,,,1,11.01,3.58,0.876,6.02,4,3,
3LK,47.2798,-114.5403,30,E16,E,7,,E16E7,PIAL,17.9,LIVE,0.025165001,0,1914,1914,2016,103,P,Y,Y,GP,Y,,,1,X (1924),CO,10.3,12,1,,,1,,,,,,,1,,,,#DIV/0!,,0,DBH on Core is from N Transect
3LK,47.2798,-114.5403,30,E16,E,Extra,A,E16ExA,PIAL,14.5,LIVE,0.016513035,5,1928,1923,2016,94,M,Y,Y,G5,Y,,,,,,,,,,,,,,,,,,1,14.03,4.21,0.807,7.95,5,5,
3LK,47.2798,-114.5403,30,E16,S,8,,E16S8,PIAL,22.2,LIVE,0.038707654,7,1931,1924,2016,93,M,Y,Y,G10,Y,,,,,CO,13.2,14,1,,,,,,,,,,1,17.21,4.2,1.089,10.92,3,7,
3LK,47.2798,-114.5403,30,F16,S,6,A,F16S6A,PIAL,20,LIVE,0.031416,0,1910,1910,2016,107,P,Y,Y,GP,Y,Shut down @ 1952,,1,X (1924),CO,,7,1,,,,,,,,,,1,,,,#DIV/0!,,0,
3LK,47.2798,-114.5403,30,G12,N,9,B,G12N9B,PIAL,19.4,LIVE,0.029559314,5,1922,1917,2016,100,O,Y,Y,G5,Y,Confirmed with Occular Estimate,,,X (1937),CO,,12,,,,,,,,,,,1,12.89,3.2,0.984,8.09,4,5,
3LK,47.2798,-114.5403,30,G12,W,5,,G12W5,PIAL,15,LIVE,0.0176715,0,1928,1928,2016,89,P,Y,Y,GP,Y,,,1,X (1937),INT,,5,,,,1,1,,,,,,1,,,,#DIV/0!,,0,
3LK,47.2798,-114.5403,30,G12,W,7,,G12W7,PIAL,15.3,LIVE,0.018385429,2,1921,1919,2016,98,M,Y,Y,G5,Y,,,,,INT,,32,,,,,,,,,,,1,12.86,3.51,1.232,7.64,4,2,
3LK,47.2798,-114.5403,30,G13,E,1,,G13E1,PIAL,17.3,LIVE,0.023506237,10,1946,1936,2016,81,M,Y,Y,G10,Y,,,,,CO,,6,1,,,,,,,,,,1,13.8,3.69,0.472,8.3,8,10,
3LK,47.2798,-114.5403,30,G13,E,6,B,G13E6B,PIAL,22.2,LIVE,0.038707654,3,1938,1935,2016,82,O,Y,Y,G5,Y,Confirmed with Occular Estimate / Resinous Rings,,,X (1966),CO,,6,1,1,1,,,,,,,,1,10.81,2.91,1.58,6.47,2,3,Looks Dead but Live on Datasheet - Original Inner Date: 1896 / Outer Date: 1967 / Dmg @ 1924
3LK,47.2798,-114.5403,30,G14,N,10,,G14N10,PIAL,24.7,LIVE,0.047916469,5,1923,1918,2004,87,M,Y,Y,G5,Y,Missing Material / Bad Mount / Faint (Resinous) Rings / Live on Data Sheet but Last Year ~2004 (Confirmed),,,X (1924),CO,11,7.5,,,,,,,,,,77,1,15.57,3.77,1.41,9.92,2,5,
3LK,47.2798,-114.5403,30,G14,S,8,,G14S8,PIAL,17.9,LIVE,0.025165001,0,1901,1901,2016,116,P,N,Y,GP,Y,Possibly 19.9 DBH - Looks Too Long to be 17.9,,1,X (1966),SUP,3.6,4,,,,,,,,,,117,1,,,,#DIV/0!,,0,
3LK,47.2798,-114.5403,30,G15,E,9,A,G15E9A,PIAL,21,LIVE,0.03463614,18,1922,1904,2016,113,M,Y,Y,B10,Y,Incorrectly Labeled G-15 W9 - Really G-15 E9 / Inspected Discrepancy between Core A & B (must have cored higher for B),,,X (1924),CO,,18,,,,,,,,,,,1,25.6,4.05,1.078,22.25,3,18,
3LK,47.2798,-114.5403,30,H11,N,2,,H11N2,PIAL,19.3,LIVE,0.029255365,25,1927,1902,2016,115,M,Y,Y,B20,Y,,,,,CO,8,1.9,,,,,,,,,,,1,13.88,3.65,0.234,8.42,11,25,
3LK,47.2798,-114.5403,30,H11,N,3,A,H11N3A,PIAL,17.1,LIVE,0.022965881,7,1923,1916,2016,101,M,Y,Y,G10,Y,,,,X (1924),CO,9.4,1.8,,,,,,X (1937-1938),,,,,1,11.93,3.94,0.502,6.49,6,7,
3LK,47.2798,-114.5403,30,H11,N,5,,H11N5,PIAL,17.4,LIVE,0.02377877,75,1905,1830,2016,187,M,Y,Y,B70,Y,,,,,CO,6.5,12,,,,,,,,,,,1,28.06,3.78,0.326,27.93,11,75,
3LK,47.2798,-114.5403,30,H11,S,9,,H11S9,PIAL,18.9,LIVE,0.028055273,20,1938,1918,2016,99,M,Y,Y,B20,Y,,,,,,8.5,13,,,,,,,,,,,1,24.75,3.13,1.2,26.03,2,20,
3LK,47.2798,-114.5403,30,H11,W,1,,H11W1,PIAL,15,LIVE,0.0176715,7,1902,1895,2016,122,M,Y,Y,G10,Y,,,,,CO,6.7,6,,,,,,,,,,,1,13.28,3.71,0.487,7.8,9,7,
3LK,47.2798,-114.5403,30,H11,W,2,,H11W2,PIAL,17.6,LIVE,0.02432855,5,1903,1898,2016,119,M,Y,Y,G5,Y,,,,,CO,8.6,7,,,,,,,,,,,1,12.9,3.63,0.623,7.55,7,5,
3LK,47.2798,-114.5403,30,H11,W,3,,H11W3,PIAL,20,LIVE,0.031416,6,1921,1915,2016,102,M,Y,Y,G10,Y,,,,,DOM,10,15,,,,,,,,,,,1,12.4,2.24,1.06,9.7,3,6,
3LK,47.2798,-114.5403,30,H11,W,4,,H11W4,PIAL,15.6,LIVE,0.019113494,64,1945,1881,2016,136,M,Y,Y,B60,Y,,,,,CO,8.1,8,,,,,,,,,,,1,27.18,2.93,0.494,32.98,3,64,
3LK,47.2798,-114.5403,30,H11,W,7,,H11W7,PIAL,20.9,LIVE,0.034307057,5,1892,1887,2016,130,M,Y,Y,G5,Y,,,,,CO,10.3,12,,,,,,,,,,,1,7.3,3.17,0.182,3.69,15,5,
3LK,47.2798,-114.5403,30,H12,E,2,B,H12E2B,PIAL,23.3,LIVE,0.042638581,16,1946,1930,2016,87,O,Y,Y,B10,Y,Warp in Arcs / Confirmed with Occular Estimate,,,,CO,,9,,,,,,,,,,,1,27.19,3.65,0.946,27.14,2,16,
3LK,47.2798,-114.5403,30,H12,S,1,A,H12S1A,PIAL,22.6,LIVE,0.04011509,14,1941,1927,2016,90,M,Y,Y,B10,Y,,,,,CO,,15.5,,,,,,,,,,,1,27.34,3.06,2.201,32.06,1,14,
3LK,47.2798,-114.5403,30,H13,N,3,,H13N3,PIAL,15.8,LIVE,0.019606726,12,1935,1923,2016,94,M,Y,Y,B10,Y,,,,,CO,,4.5,1,,,,,,,,,,1,18.52,3.2,1.11,15,2,12,
3LK,47.2798,-114.5403,30,H15,N,9,,H15N9,PIAL,19.7,LIVE,0.030480589,5,1950,1945,2016,72,M,Y,Y,G5,Y,,,,"X (1953, 1956, 1966, 1969)",CO,,9,1,,,,,,,,,,1,15.29,4,1.228,9.31,3,5,Charring at base
3LK,47.2798,-114.5403,30,H15,N,10,A,H15N10A,PIAL,21.9,LIVE,0.037668569,6,1932,1926,2016,91,M,Y,Y,G10,Y,,,,,CO,,4,1,,,,,,,,,,1,13.69,3.14,1.16,9.03,2,6,
3LK,47.2798,-114.5403,30,H15,S,2,,H15S2,PIAL,18.3,LIVE,0.026302261,0,1916,1916,2016,101,P,Y,Y,GP,Y,Shut down from 1963 - 1980,,1,X (1919 / 1924),INT,,5,,,,,,,,,,,1,,,,#DIV/0!,,0,DBH on Core: 18.5
3LK,47.2798,-114.5403,30,H15,W,9,,H15W9,PIAL,18.8,LIVE,0.027759178,4,1918,1914,2016,103,M,Y,Y,G5,Y,Shut down in 1970s,,,X (1919 / 1924),INT,,7,,,,,,,,,,,1,17.55,3.64,1.809,12.4,3,4,
3LK,47.2798,-114.5403,30,H15A,Extra,,B,H151B,PIAL,58.6,LIVE,0.269703218,5,1915,1910,2016,107,M,Y,Y,G5,Y,Outside plot by ~10 m,,,,,,,,,1,,,,,,,,1,14.38,3.07,1.92,9.95,,5,DBH taken below split
3LK,47.2798,-114.5403,30,I11,S,8,A,I11S8A,PIAL,15,LIVE,0.0176715,0,1912,1912,2016,105,P,Y,Y,GP,Y,Shut down from 1998-2004,,1,X (1913 / 1914 / 1919 / 1924 / 1936),INT,9.3,16,,,,,,,,,,,1,,,,#DIV/0!,,0,
3LK,47.2798,-114.5403,30,I11,S,10,,I11S10,PIAL,15.9,LIVE,0.019855697,0,1921,1921,2016,96,P,Y,Y,GP,Y,Narrow Rings / Redated Based on Live Status from Field Datasheet,,1,X (1930 / 1934 / 1936 / 1942),INT,9.4,12,,,,,1,,,,,,1,,,,#DIV/0!,,0,Original Dating Info - Inner Date: 1915 / Outer Date: ~2009 / DMG @ 1924 / 1928 / 1936
3LK,47.2798,-114.5403,30,I12,E,Extra,B,I12E1B,PIAL,15.1,LIVE,0.017907905,6,1973,1967,2016,50,M,Y,Y,G10,Y,,,,,,,,,,,,,,,,,,1,15.19,3.95,0.967,9.28,4,6,
3LK,47.2798,-114.5403,30,I12,W,6,,I12W6,PIAL,21.4,LIVE,0.035968178,15,1930,1915,2016,102,M,Y,Y,B10,Y,,,,,CO,,12,,1,,,,,,,,,1,20.45,4.13,0.704,14.72,6,15,
3LK,47.2798,-114.5403,30,I13,E,6,A,I13E6A,PIAL,30.8,LIVE,0.074506186,2,1913,1911,2016,106,M,Y,Y,G5,Y,,,,,DOM,,28,,,1,1,,,,,,,1,9.34,3.44,1.18,4.89,2,2,
3LK,47.2798,-114.5403,30,I13,S,5,,I13S5,PIAL,15.9,LIVE,0.019855697,14,1913,1899,2016,118,M,Y,Y,B10,Y,Faint Rings,,,X (1924),INT,7.6,9,1,1,,1,,,,,,,1,23.54,3.76,1.14,20.3,4,14,
3LK,47.2798,-114.5403,30,I13,W,9,,I13W9,PIAL,19.6,LIVE,0.030171926,3,1911,1908,2016,109,M,N,Y,G5,Y,,,,X (1913 / 1914 / 1919 / 1924),INT,,12,,,,1,,,,,,,1,12.78,3.73,1.415,7.34,2,3,
3LK,47.2798,-114.5403,30,J11,S,2,,J11S2,PIAL,31.5,LIVE,0.077931315,NA,Dated to 1920,NA,2016,NA,NA,Y,N,BB,Y,No Arcs / Partial Core,,,,CO,,40,,,,,,,,,,,1,,,,#DIV/0!,,#DIV/0!,
3LK,47.2798,-114.5403,30,J12,N,2,,J12N2,PIAL,29,LIVE,0.06605214,3,1919,1916,2016,101,M,Y,Y,G5,Y,,,,,CO,,12,,,,,,,,,,,1,13.37,3.61,1.51,7.99,2,3,
3LK,47.2798,-114.5403,30,J12,W,9,,J12W9,PIAL,19.5,LIVE,0.029864835,14,1951,1937,2016,80,M,Y,Y,B10,Y,Shut down in 2000s,,,X (1952),INT,,6,,,1,,,,,,,,1,28.49,4.22,1.646,26.15,2,14,
3LK,47.2798,-114.5403,30,J13,E,5,,J13E5,PIAL,20.6,LIVE,0.033329234,0,1912,1912,2016,105,P,Y,Y,GP,Y,,,1,X (1919 / 1924),CO,,16,,,,,,,,,,,1,,,,#DIV/0!,,0,
3LK,47.2798,-114.5403,30,J14,E,3,,J14E3,PIAL,22.6,LIVE,0.04011509,0,1914,1914,2016,103,P,Y,Y,GP,Y,Shut down @ 2012,,1,X (1924),CO,12.8,19,,1,,1,,,,,,102,1,,,,#DIV/0!,,0,
3LK,47.2798,-114.5403,30,K11,S,8,A,K11S8A,PIAL,19.5,LIVE,0.029864835,0,1917,1917,2016,100,P,Y,Y,GP,Y,,,1,,CO,,20,,,,,,,,,,,1,,,,#DIV/0!,,0,
