CN,STATECD,COUNTYCD,PLOT,PLOT_OLD,FIADB_PLOT,FIADB_TREE,SUBP,TREE,SPCD,TRE_REP,DIA,MEASYEAR,CNT_HT,CNT_LGTH,CNT_X,PITH,RINGCOUNT,METHOD,INITIALS,DAY,MONTH,YEAR,MOUNT_NOTES,CRN,R,VERIFY,REVISIT,CD_NOTES,PLT_CN,TRE_CN,SIT_CN,LAT,LON
289857634489998,49,33,57,NA,NA,NA,3,4,93,NA,19,1993,1,9,1,n,114,scope,NA,0,0,0,NA,sp,0.56,y,NA,NA,2898833010690,2898849010690,NA,41.6044,-111.422671
289857675489998,49,35,11025,NA,NA,NA,2,1,93,NA,25.5,1993,NA,NA,NA,n,85,scope,NA,0,0,0,NA,ut512,0.39,y,NA,NA,2899951010690,2899958010690,NA,40.677131,-111.627881
289857970489998,49,39,107,NA,NA,NA,2,6,93,NA,16.9,1994,1.9,31.4,2.1,n,114,scope,DB,0,0,0,NA,ut511,0.45,y,NA,NA,2909213010690,2909233010690,NA,39.243803,-111.390095
289857980489998,49,39,129,NA,NA,NA,3,3,93,NA,13,1994,2.4,12.9,1.9,n,81,scope,EG,0,0,0,NA,ut511,0.36,y,NA,NA,2909526010690,2909541010690,NA,39.17846,-111.510145
289857987489998,49,39,142,NA,NA,NA,2,2,93,NA,14.7,1994,0.5,9,0.8,n,125,scope,BJ,0,0,0,NA,ut511,0.3,y,NA,NA,2909708010690,2909725010690,NA,39.132717,-111.458905
289857997489998,49,39,154,NA,NA,NA,4,1,93,NA,17.7,1994,NA,NA,NA,y,59,scope,EG,0,0,0,NA,ut511,0.39,y,NA,NA,2909909010690,2909925010690,NA,39.064156,-111.478111
289858027489998,49,39,11073,NA,NA,NA,3,2,93,NA,12.9,1994,0.7,9.9,1.6,n,108,scope,EG,0,0,0,NA,ut511,0.33,y,NA,NA,2910741010690,2910761010690,NA,39.235529,-111.436399
289858263489998,49,43,140,NA,NA,NA,5,1,93,NA,13.6,1992,NA,NA,NA,y,124,scope,NA,0,0,0,NA,ut511,0.31,y,NA,NA,2917458010690,2917481010690,NA,40.795934,-110.943833
289858266489998,49,43,147,NA,NA,NA,3,3,93,NA,11.8,1994,NA,NA,NA,y,113,scope,NA,0,0,0,NA,ut511,0.3,y,NA,NA,2917576010690,2917590010690,NA,40.784228,-110.543252
289858269489998,49,43,157,NA,NA,NA,2,2,93,NA,18.7,1992,0.3,9.5,0.8,n,125,scope,NA,0,0,0,NA,ut511,0.32,y,NA,NA,2917663010690,2917675010690,NA,40.734637,-111.110873
289858270489998,49,43,157,NA,NA,NA,2,3,93,NA,14.5,1992,0.5,3,0.7,n,110,scope,NA,0,0,0,NA,ut511,0.31,y,NA,NA,2917663010690,2917676010690,NA,40.734637,-111.110873
289858336489998,49,43,11071,NA,NA,NA,5,2,93,NA,30.4,1992,NA,NA,NA,n,104,scope,NA,0,0,0,NA,ut511,0.39,y,NA,NA,2919409010690,2919428010690,NA,40.80585,-110.958051
289858354489998,49,43,11104,NA,NA,NA,1,3,93,NA,11.9,1992,0.7,4.1,1.2,n,68,scope,NA,0,0,0,NA,ut511,0.28,y,NA,NA,2919924010690,2919933010690,NA,40.673243,-111.208977
