TRE_CN,PLT_CN,Year,RW
2849671010690,2849662010690,1885,3.72
2849671010690,2849662010690,1886,2.83
2849671010690,2849662010690,1887,2.53
2849671010690,2849662010690,1888,2.66
2849671010690,2849662010690,1889,2.84
2849671010690,2849662010690,1890,2.95
2849671010690,2849662010690,1891,2.72
2849671010690,2849662010690,1892,2.81
2849671010690,2849662010690,1893,2.23
2849671010690,2849662010690,1894,3.25
2849671010690,2849662010690,1895,2.33
2849671010690,2849662010690,1896,1.9
2849671010690,2849662010690,1897,3.3
2849671010690,2849662010690,1898,2.91
2849671010690,2849662010690,1899,1.53
2849671010690,2849662010690,1900,1.69
2849671010690,2849662010690,1901,1.73
2849671010690,2849662010690,1902,1.59
2849671010690,2849662010690,1903,1.98
2849671010690,2849662010690,1904,1.39
2849671010690,2849662010690,1905,1.13
2849671010690,2849662010690,1906,1.36
2849671010690,2849662010690,1907,1.78
2849671010690,2849662010690,1908,2.13
2849671010690,2849662010690,1909,1.98
2849671010690,2849662010690,1910,1.91
2849671010690,2849662010690,1911,1.97
2849671010690,2849662010690,1912,1.53
2849671010690,2849662010690,1913,1.75
2849671010690,2849662010690,1914,1.92
2849671010690,2849662010690,1915,1.79
2849671010690,2849662010690,1916,1.53
2849671010690,2849662010690,1917,1.98
2849671010690,2849662010690,1918,1.09
2849671010690,2849662010690,1919,1.57
2849671010690,2849662010690,1920,1.95
2849671010690,2849662010690,1921,1.53
2849671010690,2849662010690,1922,1.54
2849671010690,2849662010690,1923,1.51
2849671010690,2849662010690,1924,1.27
2849671010690,2849662010690,1925,1.42
2849671010690,2849662010690,1926,1.59
2849671010690,2849662010690,1927,1.38
2849671010690,2849662010690,1928,1.63
2849671010690,2849662010690,1929,1.28
2849671010690,2849662010690,1930,1.48
2849671010690,2849662010690,1931,1.08
2849671010690,2849662010690,1932,1.13
2849671010690,2849662010690,1933,1.37
2849671010690,2849662010690,1934,1.15
2849671010690,2849662010690,1935,0.95
2849671010690,2849662010690,1936,1.03
2849671010690,2849662010690,1937,1.34
2849671010690,2849662010690,1938,1.3
2849671010690,2849662010690,1939,1.94
2849671010690,2849662010690,1940,1.13
2849671010690,2849662010690,1941,0.93
2849671010690,2849662010690,1942,1.02
2849671010690,2849662010690,1943,0.8
2849671010690,2849662010690,1944,1.09
2849671010690,2849662010690,1945,0.84
2849671010690,2849662010690,1946,0.8
2849671010690,2849662010690,1947,1.03
2849671010690,2849662010690,1948,1.25
2849671010690,2849662010690,1949,0.96
2849671010690,2849662010690,1950,0.89
2849671010690,2849662010690,1951,1.06
2849671010690,2849662010690,1952,0.91
2849671010690,2849662010690,1953,0.9
2849671010690,2849662010690,1954,0.89
2849671010690,2849662010690,1955,0.78
2849671010690,2849662010690,1956,0.71
2849671010690,2849662010690,1957,0.74
2849671010690,2849662010690,1958,1.01
2849671010690,2849662010690,1959,0.5
2849671010690,2849662010690,1960,0.78
2849671010690,2849662010690,1961,0.89
2849671010690,2849662010690,1962,0.96
2849671010690,2849662010690,1963,0.93
2849671010690,2849662010690,1964,1.03
2849671010690,2849662010690,1965,1
2849671010690,2849662010690,1966,0.99
2849671010690,2849662010690,1967,1.1
2849671010690,2849662010690,1968,1.23
2849671010690,2849662010690,1969,1.35
2849671010690,2849662010690,1970,0.91
2849671010690,2849662010690,1971,0.81
2849671010690,2849662010690,1972,0.92
2849671010690,2849662010690,1973,1.03
2849671010690,2849662010690,1974,0.8
2849671010690,2849662010690,1975,0.68
2849671010690,2849662010690,1976,0.79
2849671010690,2849662010690,1977,0.44
2849671010690,2849662010690,1978,0.79
2849671010690,2849662010690,1979,0.94
2849671010690,2849662010690,1980,0.57
2849671010690,2849662010690,1981,0.73
2849671010690,2849662010690,1982,0.81
2849671010690,2849662010690,1983,1
2849671010690,2849662010690,1984,1.18
2849671010690,2849662010690,1985,1.15
2849671010690,2849662010690,1986,1.27
2849671010690,2849662010690,1987,1.12
2849671010690,2849662010690,1988,1.09
2849671010690,2849662010690,1989,1.09
2849671010690,2849662010690,1990,0.91
2849671010690,2849662010690,1991,0.91
2849671010690,2849662010690,1992,0.97
2849671010690,2849662010690,1993,0.86
2857616010690,2857600010690,1905,1.64
2857616010690,2857600010690,1906,2.7
2857616010690,2857600010690,1907,2.67
2857616010690,2857600010690,1908,2.17
2857616010690,2857600010690,1909,3.01
2857616010690,2857600010690,1910,3.02
2857616010690,2857600010690,1911,3.18
2857616010690,2857600010690,1912,3.09
2857616010690,2857600010690,1913,4.06
2857616010690,2857600010690,1914,2.8
2857616010690,2857600010690,1915,2.84
2857616010690,2857600010690,1916,4.38
2857616010690,2857600010690,1917,3.92
2857616010690,2857600010690,1918,3.59
2857616010690,2857600010690,1919,2.77
2857616010690,2857600010690,1920,3.09
2857616010690,2857600010690,1921,3.39
2857616010690,2857600010690,1922,3.43
2857616010690,2857600010690,1923,3.47
2857616010690,2857600010690,1924,3.59
2857616010690,2857600010690,1925,2.98
2857616010690,2857600010690,1926,2.63
2857616010690,2857600010690,1927,2.95
2857616010690,2857600010690,1928,2.64
2857616010690,2857600010690,1929,2.53
2857616010690,2857600010690,1930,2.76
2857616010690,2857600010690,1931,0.92
2857616010690,2857600010690,1932,0.61
2857616010690,2857600010690,1933,0.69
2857616010690,2857600010690,1934,0.46
2857616010690,2857600010690,1935,0.64
2857616010690,2857600010690,1936,0.56
2857616010690,2857600010690,1937,0.88
2857616010690,2857600010690,1938,1.29
2857616010690,2857600010690,1939,1.47
2857616010690,2857600010690,1940,1.19
2857616010690,2857600010690,1941,1.73
2857616010690,2857600010690,1942,1.57
2857616010690,2857600010690,1943,1.58
2857616010690,2857600010690,1944,1.46
2857616010690,2857600010690,1945,1.48
2857616010690,2857600010690,1946,1.32
2857616010690,2857600010690,1947,1.75
2857616010690,2857600010690,1948,1.49
2857616010690,2857600010690,1949,1.42
2857616010690,2857600010690,1950,1.09
2857616010690,2857600010690,1951,1.24
2857616010690,2857600010690,1952,1.45
2857616010690,2857600010690,1953,1.53
2857616010690,2857600010690,1954,2.16
2857616010690,2857600010690,1955,1.67
2857616010690,2857600010690,1956,1.02
2857616010690,2857600010690,1957,0.94
2857616010690,2857600010690,1958,0.98
2857616010690,2857600010690,1959,1.09
2857616010690,2857600010690,1960,1.3
2857616010690,2857600010690,1961,0.93
2857616010690,2857600010690,1962,0.87
2857616010690,2857600010690,1963,0.51
2857616010690,2857600010690,1964,1.06
