TRE_CN,PLOT_CN,Year,RW
23R1,667907477126144,1855,1.68
23R1,667907477126144,1856,1.03
23R1,667907477126144,1857,1.12
23R1,667907477126144,1858,1.15
23R1,667907477126144,1859,1.4
23R1,667907477126144,1860,1.34
23R1,667907477126144,1861,1.05
23R1,667907477126144,1862,0.19
23R1,667907477126144,1863,0.92
23R1,667907477126144,1864,1.24
23R1,667907477126144,1865,0.87
23R1,667907477126144,1866,0.56
23R1,667907477126144,1867,0.91
23R1,667907477126144,1868,0.77
23R1,667907477126144,1869,0.78
23R1,667907477126144,1870,0.73
23R1,667907477126144,1871,0.78
23R1,667907477126144,1872,1.09
23R1,667907477126144,1873,1.64
23R1,667907477126144,1874,1.47
23R1,667907477126144,1875,0.68
23R1,667907477126144,1876,0.74
23R1,667907477126144,1877,0.52
23R1,667907477126144,1878,0.53
23R1,667907477126144,1879,0.7
23R1,667907477126144,1880,0.66
23R1,667907477126144,1881,0.87
23R1,667907477126144,1882,0.91
23R1,667907477126144,1883,0.76
23R1,667907477126144,1884,0.98
23R1,667907477126144,1885,1.07
23R1,667907477126144,1886,1.06
23R1,667907477126144,1887,1.26
23R1,667907477126144,1888,1.82
23R1,667907477126144,1889,0.63
23R1,667907477126144,1890,0.61
23R1,667907477126144,1891,1.08
23R1,667907477126144,1892,0.67
23R1,667907477126144,1893,0.68
23R1,667907477126144,1894,0.56
23R1,667907477126144,1895,0.58
23R1,667907477126144,1896,0.48
23R1,667907477126144,1897,0.52
23R1,667907477126144,1898,0.58
23R1,667907477126144,1899,0.72
23R1,667907477126144,1900,0.83
23R1,667907477126144,1901,0.72
23R1,667907477126144,1902,0.87
23R1,667907477126144,1903,0.76
23R1,667907477126144,1904,1.28
23R1,667907477126144,1905,1.13
23R1,667907477126144,1906,0.69
23R1,667907477126144,1907,0.65
23R1,667907477126144,1908,0.65
23R1,667907477126144,1909,0.6
23R1,667907477126144,1910,0.72
23R1,667907477126144,1911,0.83
23R1,667907477126144,1912,0.82
23R1,667907477126144,1913,0.9
23R1,667907477126144,1914,0.91
23R1,667907477126144,1915,0.93
23R1,667907477126144,1916,0.72
23R1,667907477126144,1917,0.46
23R1,667907477126144,1918,0.66
23R1,667907477126144,1919,0.94
23R1,667907477126144,1920,0.79
23R1,667907477126144,1921,0.76
23R1,667907477126144,1922,0.72
23R1,667907477126144,1923,0.44
23R1,667907477126144,1924,0.69
23R1,667907477126144,1925,0.63
23R1,667907477126144,1926,0.55
23R1,667907477126144,1927,0.53
23R1,667907477126144,1928,0.63
23R1,667907477126144,1929,0.53
23R1,667907477126144,1930,0.52
23R1,667907477126144,1931,0.56
23R1,667907477126144,1932,0.4
23R1,667907477126144,1933,0.36
23R1,667907477126144,1934,0.52
23R1,667907477126144,1935,0.73
23R1,667907477126144,1936,0.65
23R1,667907477126144,1937,0.69
23R1,667907477126144,1938,0.75
23R1,667907477126144,1939,0.89
23R1,667907477126144,1940,0.89
23R1,667907477126144,1941,0.84
23R1,667907477126144,1942,0.81
23R1,667907477126144,1943,0.88
23R1,667907477126144,1944,0.83
23R1,667907477126144,1945,0.62
23R1,667907477126144,1946,0.77
23R1,667907477126144,1947,1.03
23R1,667907477126144,1948,0.86
23R1,667907477126144,1949,1.01
23R1,667907477126144,1950,0.86
23R1,667907477126144,1951,1.4
23R1,667907477126144,1952,1.03
23R1,667907477126144,1953,0.86
23R1,667907477126144,1954,0.8
23R1,667907477126144,1955,0.84
23R1,667907477126144,1956,0.8
23R1,667907477126144,1957,0.87
23R1,667907477126144,1958,0.83
23R1,667907477126144,1959,0.76
23R1,667907477126144,1960,0.96
23R1,667907477126144,1961,0.75
23R1,667907477126144,1962,0.66
23R1,667907477126144,1963,1.2
23R1,667907477126144,1964,0.87
23R1,667907477126144,1965,0.71
23R1,667907477126144,1966,0.83
23R1,667907477126144,1967,0.65
23R1,667907477126144,1968,0.74
23R1,667907477126144,1969,0.95
23R1,667907477126144,1970,1.01
23R1,667907477126144,1971,1.04
23R1,667907477126144,1972,0.79
23R1,667907477126144,1973,1.14
23R1,667907477126144,1974,1.07
23R1,667907477126144,1975,0.81
23R1,667907477126144,1976,0.91
23R1,667907477126144,1977,0.82
23R1,667907477126144,1978,0.76
23R1,667907477126144,1979,0.88
23R1,667907477126144,1980,1.26
23R1,667907477126144,1981,0.9
23R1,667907477126144,1982,1.12
23R1,667907477126144,1983,1.18
23R1,667907477126144,1984,1.1
23R1,667907477126144,1985,0.98
23R1,667907477126144,1986,0.91
23R1,667907477126144,1987,0.91
23R1,667907477126144,1988,0.81
23R1,667907477126144,1989,0.58
23R1,667907477126144,1990,0.53
23R1,667907477126144,1991,0.6
23R1,667907477126144,1992,0.62
