TRE_CN,MEASYEAR,DIA_t
3326041010690,1991,12.4
3326042010690,1991,12.2
3327929010690,1991,11.4
2945867010690,1997,6.6
3300351010690,1995,12.5
3315078010690,1995,9.1
2946856010690,1997,7.2
2946865010690,1997,10.3
2947475010690,1997,10.2
2947519010690,1997,9.9
2947586010690,1997,5.6
2948014010690,1997,8.6
2948333010690,1997,9
2949034010690,1997,13.2
2949140010690,1997,7.3
2951274010690,1997,6.7
2951811010690,1997,13.5
2952491010690,1997,11.2
2952884010690,1997,9.1
2951071010690,1988,7
2951072010690,1988,10.1
2958872010690,1997,17.3
2959117010690,1997,8.1
2959767010690,1997,22.7
2959839010690,1997,11.3
2959884010690,1997,5.9
2963330010690,1996,12.3
2968801010690,1997,13.7
2969040010690,1997,6.3
2969042010690,1997,10.9
2969697010690,1988,7.4
2974584010690,1993,5.2
2974632010690,1994,10.4
3004838010690,1997,9.8
3004915010690,1996,5.3
3005753010690,1997,13.4
3006137010690,1997,6.3
3006138010690,1997,8.1
3006186010690,1997,24.5
3007765010690,1997,6
3007954010690,1997,8
3007958010690,1997,9
3008135010690,1997,8.8
2974881010690,1993,17.7
2975161010690,1993,5
2975337010690,1993,8.9
2976031010690,1993,7.4
2976039010690,1993,7.6
2977016010690,1993,10.9
2981725010690,1993,8.5
2983302010690,1994,22.6
2986152010690,1994,17.7
2987563010690,1994,10.8
2987762010690,1994,11.9
2988769010690,1994,13.8
2989067010690,1993,31.2
2989555010690,1993,4.9
2992760010690,1997,5.4
3003637010690,1996,8.9
3017657010690,1996,11.4
3017956010690,1996,8.7
3020388010690,1993,13.9
3023986010690,1996,12.1
3024808010690,1996,9.7
3060314010690,1997,14.4
3062798010690,1997,7.6
3062820010690,1997,9.1
3063272010690,1997,14.9
3063911010690,1997,23.1
3064316010690,1997,14.5
3064468010690,1997,13.4
3064475010690,1997,12
3064516010690,1997,10.7
3064517010690,1997,9.1
3064582010690,1997,9.3
3064597010690,1997,16
3064874010690,1997,13.4
3065077010690,1997,10.5
3065085010690,1997,10.9
3065379010690,1997,11.3
3065523010690,1997,14.8
3065527010690,1997,3.7
3065928010690,1997,9.7
3067623010690,1996,9.9
3076917010690,1994,9.9
3078959010690,1995,15.5
3080142010690,1996,8.6
3080145010690,1996,8.8
3091584010690,1997,14.9
3092054010690,1997,5.7
3092677010690,1997,7.3
3093023010690,1997,8.1
3093528010690,1997,8.1
3093748010690,1997,13.8
3093761010690,1997,11.1
3093802010690,1997,15.1
3093804010690,1997,12.1
3094528010690,1997,18.5
3094597010690,1997,10.4
3106915010690,1993,6.96
3107486010690,1993,9.9
3107535010690,1993,14.8
3108427010690,1993,12.2
3108429010690,1993,9.9
3109139010690,1996,18.5
3112172010690,1996,3.5
3112206010690,1996,10.2
3115657010690,1995,12.9
3116798010690,1994,9.4
3116828010690,1995,19
3118385010690,1995,7.4
3120651010690,1995,10.1
3136308010690,1997,13.1
3138290010690,1997,6.8
3139560010690,1997,14.1
3139571010690,1997,8
3139760010690,1997,16.7
3139841010690,1997,16.2
3141101010690,1996,7.6
3141308010690,1996,7.3
3141492010690,1996,5.1
325583204489998,2014,13.3
325582863489998,2014,6.7
387673101489998,2015,10.1
387622297489998,2015,5.1
5393645010690,2015,6.5
5393647010690,2015,6.8
5393141010690,2015,7.2
5393160010690,2015,10.4
5393446010690,2015,5.7
5392524010690,2015,8.6
5392845010690,2015,5.6
5392857010690,2015,6.7
387667016489998,2015,10.5
5398264010690,2015,9.9
531005527126144,2017,6.9
12283792010690,2017,7.1
486612916489998,2016,8
486589514489998,2016,6.9
486586051489998,2016,8.9
486616660489998,2016,6
11807271010690,2016,5.5
12284575010690,2017,5.9
50637571020004,2018,8.8
31368428010690,2018,9
41721079010690,2016,10.2
284513926489998,2018,10
275459131489998,2013,9.4
188954782020004,2012,7
188954883020004,2012,5.3
188955740020004,2012,5.3
188955767020004,2012,4.5
188956452020004,2012,6.8
188956494020004,2012,11
188956961020004,2012,3.1
335001971489998,2014,9.7
275460230489998,2013,13.1
275460264489998,2013,12.4
188957900020004,2012,4.6
188958366020004,2012,9.7
335139019489998,2013,11.3
188964907020004,2011,11
188966600020004,2011,9.6
335145422489998,2014,12.2
247331678489998,2013,9
247331772489998,2013,13.7
188969160020004,2012,10.6
275475211489998,2013,27.6
188970088020004,2012,4.6
188970094020004,2012,11.6
275475438489998,2013,12.4
188970784020004,2012,10.3
188970803020004,2012,3.9
335002023489998,2014,11.6
335002024489998,2014,5.4
335133147489998,2014,7.6
335148337489998,2014,9.1
335148345489998,2014,5.3
335158228489998,2014,9.3
335158229489998,2014,7.2
335156715489998,2014,3.8
188978331020004,2012,9.8
188978344020004,2012,6.5
275471106489998,2013,9.3
275471262489998,2013,10
188981502020004,2012,7.2
247332298489998,2013,8
247332305489998,2013,10.6
188982688020004,2012,10.9
388898843489998,2015,9.8
388898929489998,2015,5.1
388903384489998,2015,5
388905878489998,2015,11.1
388905882489998,2015,5.4
388906192489998,2015,6.9
388907788489998,2015,9.6
388907790489998,2015,5.1
388910591489998,2015,9.3
388911075489998,2015,10.7
388911076489998,2015,18.8
388911077489998,2015,17.8
388911248489998,2015,7.6
388911253489998,2015,9.1
388911264489998,2015,7.5
388913047489998,2015,6.5
388842032489998,2015,5.4
478426187489998,2016,7.9
478429521489998,2016,3
