TRE_CN,PLOT_CN,LAT,LON,dataset
20T634,40421037010690,44.680158,-110.847163,FIA
20T638,782035337290487,44.838234,-110.869374,FIA
20X993,356008799489998,45.456209,-113.043053,FIA
22T1731,40420644010690,44.836035,-109.868291,FIA
22T1734,40420644010690,44.836035,-109.868291,FIA
22T1743,40420699010690,44.741694,-109.743225,FIA
22T1746,40420699010690,44.741694,-109.743225,FIA
22T1754,40420799010690,44.522611,-109.867769,FIA
22T1759,40420927010690,44.162996,-109.88141,FIA
22T1760,40420927010690,44.162996,-109.88141,FIA
22T1778,40421773010690,43.149753,-109.74961,FIA
22T1779,40421773010690,43.149753,-109.74961,FIA
22T1780,40421773010690,43.149753,-109.74961,FIA
22T1823,40418185010690,43.53398,-109.886847,FIA
22T1845,40418767010690,43.13462,-109.421581,FIA
22T1888,733350813290487,42.617244,-109.048967,FIA
22T1980,40418767010690,43.13462,-109.421581,FIA
22T1983,40418767010690,43.13462,-109.421581,FIA
22T1984,40418767010690,43.13462,-109.421581,FIA
22T2001,733350500290487,42.522555,-108.932281,FIA
22X9859,40420927010690,44.162996,-109.88141,FIA
22X9860,40420927010690,44.162996,-109.88141,FIA
22X9878,40418122010690,43.847081,-109.884837,FIA
22X9879,40418122010690,43.847081,-109.884837,FIA
23R1,667907477126144,43.918434,-114.87701,FIA
23R2,667907533126144,44.192892,-115.060282,FIA
23R6,667907270126144,45.190334,-115.480636,FIA
23R21,670951002126144,48.105267,-113.907607,FIA
23R27,733356577290487,42.569006,-108.871846,FIA
23R34,733356820290487,42.425136,-110.486406,FIA
23R39,733356491290487,43.708098,-110.144462,FIA
23R54,733356341290487,42.317643,-110.637157,FIA
23T170,733349382290487,44.873172,-109.467868,FIA
23T28,667907263126144,48.617116,-116.24983,FIA
23T67,667907367126144,44.871125,-115.932284,FIA
23T72,670950878126144,45.944371,-113.327456,FIA
23T90,548482189126144,47.501676,-113.92913,FIA
23T106,670953286126144,45.059351,-109.928349,FIA
23T248,667907280126144,45.903173,-115.001918,FIA
23T255,670951478126144,45.109081,-110.237354,FIA
23T257,670953063126144,45.077504,-110.557609,FIA
23T268,667907801126144,44.39056,-111.065251,FIA
23T269,667907801126144,44.39056,-111.065251,FIA
23T277,670952793126144,46.247711,-113.656068,FIA
23T340,667907208126144,45.1958,-116.623776,FIA
23T302,733356829290487,43.882154,-109.443725,FIA
23T371,667907337126144,45.052793,-115.284766,FIA
23T377,667907011126144,44.421596,-115.249335,FIA
23T527,667906986126144,43.735781,-114.704125,FIA
23T534,667907067126144,43.909735,-114.382399,FIA
23T385,670952548126144,47.879071,-113.009507,FIA
23T419,733356472290487,42.585639,-109.03665,FIA
23T434,733349315290487,44.538182,-109.82854,FIA
23T449,547769069126144,45.053313,-115.350382,FIA
23T470,40418411010690,43.070007,-109.459915,FIA
23T471,733356357290487,42.934407,-109.339972,FIA
23T479,733356620290487,44.075132,-109.932724,FIA
23T515,667907033126144,44.582734,-113.58593,FIA
23T608,670953100126144,46.011887,-110.361863,FIA
23T618,733356438290487,44.869562,-109.41285,FIA
23T625,667907625126144,44.716882,-113.778057,FIA
23X1451,733350538290487,44.2888,-109.307927,FIA
23X1452,733350538290487,44.2888,-109.307927,FIA
23X1453,733350538290487,44.2888,-109.307927,FIA
23X1511,733356829290487,43.882154,-109.443725,FIA
23T198,733350609290487,42.850489,-109.535522,FIA
23T210,733349426290487,42.600391,-109.101828,FIA
23T211,733349426290487,42.600391,-109.101828,FIA
23T213,733349426290487,42.600391,-109.101828,FIA
23T425,733350542290487,44.298869,-109.934472,FIA
23T428,733350728290487,44.020222,-109.810289,FIA
295714786489998,3315056010690,45.481481,-114.841106,FIA
289859843489998,2976020010690,48.647214,-114.356269,FIA
289859845489998,2976020010690,48.647214,-114.356269,FIA
289863298489998,3118347010690,46.020855,-113.775947,FIA
558534589126144,5393622010690,45.21643,-113.670561,FIA
558534615126144,5393380010690,44.77322,-114.536356,FIA
295714524489998,12283667010690,44.715715,-114.595441,FIA
295711309489998,11806586010690,44.814151,-114.663375,FIA
295714505489998,188773542020004,45.081867,-114.459731,FIA
558534224126144,429484461489998,NA,NA,FIA
295705463489998,40405619010690,43.796064,-109.327158,FIA
295705475489998,40405670010690,43.390609,-109.523725,FIA
295705968489998,40405766010690,42.934407,-109.339972,FIA
295705730489998,40405776010690,42.886294,-109.165075,FIA
295705480489998,40405821010690,42.617244,-109.048967,FIA
295705782489998,40406795010690,44.294457,-109.622942,FIA
295705783489998,40406795010690,44.294457,-109.622942,FIA
295705540489998,40406817010690,44.1609,-109.816783,FIA
295705793489998,40420989010690,43.971998,-109.563831,FIA
295705804489998,40421014010690,44.988528,-109.704538,FIA
295705564489998,40406874010690,44.046749,-109.845239,FIA
295705565489998,40406874010690,44.046749,-109.845239,FIA
295706099489998,40421476010690,43.166636,-109.955699,FIA
295706100489998,40421476010690,43.166636,-109.955699,FIA
295705618489998,40407564010690,44.200563,-110.177689,FIA
295705619489998,40407564010690,44.200563,-110.177689,FIA
295705627489998,40407634010690,43.489148,-110.623825,FIA
295705868489998,40407635010690,43.490615,-110.323606,FIA
295705646489998,40407655010690,43.741882,-110.832245,FIA
295708480489998,40418147010690,43.700093,-109.381474,FIA
295708581489998,40422684010690,44.255793,-110.877204,FIA
295708593489998,40422709010690,44.161614,-110.311799,FIA
295711726489998,40421473010690,43.16855,-110.202062,FIA
558533439126144,40418449010690,42.982764,-109.217517,FIA
558533450126144,40418776010690,43.054056,-109.368928,FIA
558531339126144,40418366010690,43.162852,-109.336734,FIA
558531401126144,40420692010690,44.752241,-110.427655,FIA
558531403126144,40420692010690,44.752241,-110.427655,FIA
558531454126144,40422794010690,43.764832,-110.816743,FIA
558531455126144,40422794010690,43.764832,-110.816743,FIA
558533492126144,40420584010690,44.934214,-110.869415,FIA
558533515126144,40421040010690,44.675946,-110.590935,FIA
E13A1,E13A,47.2798,-114.5403,kichas
E16N3B,E16,47.2798,-114.5403,kichas
E16N4,E16,47.2798,-114.5403,kichas
E16N7A,E16,47.2798,-114.5403,kichas
E16ExA,E16,47.2798,-114.5403,kichas
E16S8,E16,47.2798,-114.5403,kichas
F16S6A,F16,47.2798,-114.5403,kichas
G12N9B,G12,47.2798,-114.5403,kichas
G12W5,G12,47.2798,-114.5403,kichas
G12W7,G12,47.2798,-114.5403,kichas
G13E1,G13,47.2798,-114.5403,kichas
G13E6B,G13,47.2798,-114.5403,kichas
G14N10,G14,47.2798,-114.5403,kichas
G14S8,G14,47.2798,-114.5403,kichas
G15E9A,G15,47.2798,-114.5403,kichas
H11N2,H11,47.2798,-114.5403,kichas
H11N3A,H11,47.2798,-114.5403,kichas
H11N5,H11,47.2798,-114.5403,kichas
H11S9,H11,47.2798,-114.5403,kichas
H11W1,H11,47.2798,-114.5403,kichas
H11W2,H11,47.2798,-114.5403,kichas
H11W3,H11,47.2798,-114.5403,kichas
H11W4,H11,47.2798,-114.5403,kichas
H11W7,H11,47.2798,-114.5403,kichas
H12E2B,H12,47.2798,-114.5403,kichas
H12S1A,H12,47.2798,-114.5403,kichas
H13N3,H13,47.2798,-114.5403,kichas
H15N9,H15,47.2798,-114.5403,kichas
H15N10A,H15,47.2798,-114.5403,kichas
H15S2,H15,47.2798,-114.5403,kichas
H15W9,H15,47.2798,-114.5403,kichas
H151B,H15A,47.2798,-114.5403,kichas
I11S8A,I11,47.2798,-114.5403,kichas
I11S10,I11,47.2798,-114.5403,kichas
I12E1B,I12,47.2798,-114.5403,kichas
I12W6,I12,47.2798,-114.5403,kichas
I13E6A,I13,47.2798,-114.5403,kichas
I13S5,I13,47.2798,-114.5403,kichas
I13W9,I13,47.2798,-114.5403,kichas
J11S2,J11,47.2798,-114.5403,kichas
J12N2,J12,47.2798,-114.5403,kichas
J12W9,J12,47.2798,-114.5403,kichas
J13E5,J13,47.2798,-114.5403,kichas
J14E3,J14,47.2798,-114.5403,kichas
K11S8A,K11,47.2798,-114.5403,kichas
K11S8A1,K11,47.2798,-114.5403,kichas
K13E6,K13,47.2798,-114.5403,kichas
K14N2A,K14,47.2798,-114.5403,kichas
K14N21,K14,47.2798,-114.5403,kichas
L13N7,L13,47.2798,-114.5403,kichas
L13S2,L13,47.2798,-114.5403,kichas
L13S3,L13,47.2798,-114.5403,kichas
