TRE_CN,PLOT_CN,MEASYEAR,DIA
E13A1,E13A,2016,26.1
E16N3B,E16,2016,15.8
E16N4,E16,2016,15.5
E16N7A,E16,2016,20.6
E16ExA,E16,2016,14.5
E16S8,E16,2016,22.2
F16S6A,F16,2016,20
G12N9B,G12,2016,19.4
G12W5,G12,2016,15
G12W7,G12,2016,15.3
G13E1,G13,2016,17.3
G13E6B,G13,2016,22.2
G14N10,G14,2004,24.7
G14S8,G14,2016,17.9
G15E9A,G15,2016,21
H11N2,H11,2016,19.3
H11N3A,H11,2016,17.1
H11N5,H11,2016,17.4
H11S9,H11,2016,18.9
H11W1,H11,2016,15
H11W2,H11,2016,17.6
H11W3,H11,2016,20
H11W4,H11,2016,15.6
H11W7,H11,2016,20.9
H12E2B,H12,2016,23.3
H12S1A,H12,2016,22.6
H13N3,H13,2016,15.8
H15N9,H15,2016,19.7
H15N10A,H15,2016,21.9
H15S2,H15,2016,18.3
H15W9,H15,2016,18.8
H151B,H15A,2016,58.6
I11S8A,I11,2016,15
I11S10,I11,2016,15.9
I12E1B,I12,2016,15.1
I12W6,I12,2016,21.4
I13E6A,I13,2016,30.8
I13S5,I13,2016,15.9
I13W9,I13,2016,19.6
J11S2,J11,2016,31.5
J12N2,J12,2016,29
J12W9,J12,2016,19.5
J13E5,J13,2016,20.6
J14E3,J14,2016,22.6
K11S8A,K11,2016,19.5
K11S8A1,K11,2016,17.5
K13E6,K13,2016,16.5
K14N2A,K14,2016,21
K14N21,K14,2016,15.3
L13N7,L13,2016,15
L13S2,L13,2016,16.8
L13S3,L13,2016,17.2
L13S6,L13,2016,19.5
L13W10,L13,2016,21.1
Q8N10,Q8,2016,27.4
Q9E4A,Q9,2016,17.4
Q9E7,Q9,2016,16.6
Q9S1,Q9,2016,28.3
R9N1,R9,2016,32.8
R9N2A,R9,2016,16.9
R9N3A,R9,2016,21.7
R9N4B,R9,2016,29.5
R9N5A,R9,2016,21.9
R9N10A,R9,2016,19.8
R9E2,R9,2016,20.9
R9S3,R9,2016,18
R9W10,R9,2016,26.2
R10E3,R10,2016,15
S9S5,S9,2016,32.7
S10N9A,S10,2016,20.8
S10N10,S10,2016,15.7
S10E3B,S10,2016,17.6
S10E9A,S10,2016,20.9
S10S3,S10,2016,29.6
S10S8,S10,2016,18.6
S11Ex1A,S11,2016,33.6
T7N4,T7,2016,25.1
T8N6,T8,2016,20
T8E2,T8,2016,18.6
T8E4,T8,2016,26.4
T8E5,T8,2016,21.8
T8E6,T8,2016,29.3
T8S2,T8,2016,29.2
T9N1,T9,2016,16.8
T9N9,T9,2016,15.3
T9E5A,T9,2016,32.7
T9W2B,T9,2016,29.9
T9W3A,T9,2016,18
T10N9,T10,2016,20.3
T12N3,T12,2016,20.5
T12N6,T12,2016,21.3
T12N8,T12,2016,18.4
T12E1,T12,2016,16.3
T12E4,T12,2016,24.6
T12E6,T12,2016,15.6
U8N8,U8,2016,17.5
U11W3,U11,2016,19.8
U12N7,U12,2016,24.3
U12N10,U12,2016,19.8
U12E5,U12,2016,20.9
U12W1,U12,2016,17.7
W9E10,W9,2016,19.4
W10N10,W10,2016,24.3
W10S2,W10,2016,19.5
W10S10,W10,2016,16.5
20T634,40421037010690,2020,8.4
20T638,782035337290487,2020,5.5
20X993,356008799489998,2020,11.8
22T1731,40420644010690,2022,5.5
22T1734,40420644010690,2022,9.3
22T1743,40420699010690,2022,6.8
22T1746,40420699010690,2022,10.9
22T1754,40420799010690,2022,5.6
22T1755,40420799010690,2022,10
22T1759,40420927010690,2022,7.9
22T1760,40420927010690,2022,9.2
22T1778,40421773010690,2022,6.8
22T1779,40421773010690,2022,9.1
22T1780,40421773010690,2022,16.5
22T1823,40418185010690,2022,5.1
22T1845,40418767010690,2022,19.7
22T1888,733350813290487,2022,6.8
22T1980,40418767010690,2022,10.3
22T1983,40418767010690,2022,3.9
22T1984,40418767010690,2022,6.1
22T2001,733350500290487,2022,5
22X9859,40420927010690,2022,7.8
22X9860,40420927010690,2022,9.5
22X9878,40418122010690,2022,5.5
22X9879,40418122010690,2022,7.3
23R1,667907477126144,2023,12.1
23R2,667907533126144,2023,8.2
23R6,667907270126144,2023,9.7
23R21,670951002126144,2023,8.1
23R27,733356577290487,2023,11.9
23R34,733356820290487,2023,12
23R39,733356491290487,2023,13.4
