Year,TRE_CN,RW
1855,23R1,1.68
1856,23R1,1.03
1857,23R1,1.12
1858,23R1,1.15
1859,23R1,1.4
1860,23R1,1.34
1861,23R1,1.05
1862,23R1,0.19
1863,23R1,0.92
1864,23R1,1.24
1865,23R1,0.87
1866,23R1,0.56
1867,23R1,0.91
1868,23R1,0.77
1869,23R1,0.78
1870,23R1,0.73
1871,23R1,0.78
1872,23R1,1.09
1873,23R1,1.64
1874,23R1,1.47
1875,23R1,0.68
1876,23R1,0.74
1877,23R1,0.52
1878,23R1,0.53
1879,23R1,0.7
1880,23R1,0.66
1881,23R1,0.87
1882,23R1,0.91
1883,23R1,0.76
1884,23R1,0.98
1885,23R1,1.07
1886,23R1,1.06
1887,23R1,1.26
1888,23R1,1.82
1889,23R1,0.63
1890,23R1,0.61
1891,23R1,1.08
1892,23R1,0.67
1893,23R1,0.68
1894,23R1,0.56
1895,23R1,0.58
1896,23R1,0.48
1897,23R1,0.52
1898,23R1,0.58
1899,23R1,0.72
1900,23R1,0.83
1901,23R1,0.72
1902,23R1,0.87
1903,23R1,0.76
1904,23R1,1.28
1905,23R1,1.13
1906,23R1,0.69
1907,23R1,0.65
1908,23R1,0.65
1909,23R1,0.6
1910,23R1,0.72
1911,23R1,0.83
1912,23R1,0.82
1913,23R1,0.9
1914,23R1,0.91
1915,23R1,0.93
1916,23R1,0.72
1917,23R1,0.46
1918,23R1,0.66
1919,23R1,0.94
1920,23R1,0.79
1921,23R1,0.76
1922,23R1,0.72
1923,23R1,0.44
1924,23R1,0.69
1925,23R1,0.63
1926,23R1,0.55
1927,23R1,0.53
1928,23R1,0.63
1929,23R1,0.53
1930,23R1,0.52
1931,23R1,0.56
1932,23R1,0.4
1933,23R1,0.36
1934,23R1,0.52
1935,23R1,0.73
1936,23R1,0.65
1937,23R1,0.69
1938,23R1,0.75
1939,23R1,0.89
1940,23R1,0.89
1941,23R1,0.84
1942,23R1,0.81
1943,23R1,0.88
1944,23R1,0.83
1945,23R1,0.62
1946,23R1,0.77
1947,23R1,1.03
1948,23R1,0.86
1949,23R1,1.01
1950,23R1,0.86
1951,23R1,1.4
1952,23R1,1.03
1953,23R1,0.86
1954,23R1,0.8
1955,23R1,0.84
1956,23R1,0.8
1957,23R1,0.87
1958,23R1,0.83
1959,23R1,0.76
1960,23R1,0.96
1961,23R1,0.75
1962,23R1,0.66
1963,23R1,1.2
1964,23R1,0.87
1965,23R1,0.71
1966,23R1,0.83
1967,23R1,0.65
1968,23R1,0.74
1969,23R1,0.95
1970,23R1,1.01
1971,23R1,1.04
1972,23R1,0.79
1973,23R1,1.14
1974,23R1,1.07
1975,23R1,0.81
1976,23R1,0.91
1977,23R1,0.82
1978,23R1,0.76
1979,23R1,0.88
1980,23R1,1.26
1981,23R1,0.9
1982,23R1,1.12
1983,23R1,1.18
1984,23R1,1.1
1985,23R1,0.98
1986,23R1,0.91
1987,23R1,0.91
1988,23R1,0.81
1989,23R1,0.58
1990,23R1,0.53
1991,23R1,0.6
1992,23R1,0.62
1993,23R1,0.72
1994,23R1,1
1995,23R1,0.65
1996,23R1,0.53
1997,23R1,0.52
1998,23R1,0.38
1999,23R1,0.38
2000,23R1,0.42
2001,23R1,0.41
2002,23R1,0.43
2003,23R1,0.34
2004,23R1,0.27
2005,23R1,0.38
2006,23R1,0.35
2007,23R1,0.34
2008,23R1,0.39
2009,23R1,0.44
2010,23R1,0.35
2011,23R1,0.36
2012,23R1,0.44
2013,23R1,0.38
2014,23R1,0.48
2015,23R1,0.4
2016,23R1,0.42
2017,23R1,0.54
2018,23R1,0.5
2019,23R1,0.55
2020,23R1,0.54
2021,23R1,0.41
2022,23R1,0.31
2023,23R1,0.5
1952,23R2,0.29
1953,23R2,0.15
1954,23R2,0.23
1955,23R2,0.42
1956,23R2,0.2
1957,23R2,0.13
1958,23R2,0.21
1959,23R2,0.47
1960,23R2,0.58
1961,23R2,0.57
1962,23R2,0.66
1963,23R2,0.76
1964,23R2,0.74
1965,23R2,0.49
1966,23R2,0.75
1967,23R2,0.57
1968,23R2,0.98
1969,23R2,0.83
1970,23R2,0.57
1971,23R2,0.71
1972,23R2,0.76
1973,23R2,1.25
1974,23R2,1
1975,23R2,1.16
1976,23R2,1.5
1977,23R2,1.15
1978,23R2,1.2
1979,23R2,1.32
1980,23R2,1.4
1981,23R2,1.83
1982,23R2,1.45
1983,23R2,1.59
1984,23R2,1.7
1985,23R2,1.64
1986,23R2,1.68
1987,23R2,1.22
1988,23R2,1.03
1989,23R2,0.91
1990,23R2,0.82
1991,23R2,1.11
1992,23R2,1.69
1993,23R2,1.75
1994,23R2,1.97
1995,23R2,1.65
1996,23R2,3.19
1997,23R2,3.61
1998,23R2,2.33
1999,23R2,1.77
2000,23R2,1.47
2001,23R2,0.94
2002,23R2,1.43
2003,23R2,2.13
2004,23R2,1.64
2005,23R2,1.52
2006,23R2,1.92
2007,23R2,1.18
2008,23R2,1.3
2009,23R2,1.41
2010,23R2,1.16
2011,23R2,1.13
2012,23R2,1.61
2013,23R2,0.89
2014,23R2,1.42
2015,23R2,2.17
2016,23R2,1.94
2017,23R2,2.4
2018,23R2,2.15
2019,23R2,1.67
2020,23R2,1.23
2021,23R2,0.87
2022,23R2,1.04
1989,23R21,2.05
1990,23R21,2.09
1991,23R21,2.83
1992,23R21,3.11
1993,23R21,2.78
1994,23R21,2.62
1995,23R21,2.98
1996,23R21,2.96
1997,23R21,3.33
1998,23R21,3.31
1999,23R21,3.23
2000,23R21,3.69
2001,23R21,4.37
2002,23R21,5.06
2003,23R21,3.39
2004,23R21,2.93
2005,23R21,3.48
2006,23R21,3.58
2007,23R21,3.71
2008,23R21,2.96
2009,23R21,3.65
2010,23R21,3.83
2011,23R21,2.75
2012,23R21,3.14
2013,23R21,2.88
2014,23R21,3.59
2015,23R21,2.56
2016,23R21,2.23
2017,23R21,3.28
2018,23R21,3.56
2019,23R21,3.1
2020,23R21,2.85
2021,23R21,1.95
2022,23R21,1.14
2023,23R21,1.1
1670,23R27,0.49
1671,23R27,0.35
1672,23R27,0.3
1673,23R27,0.39
1674,23R27,0.26
1675,23R27,0.35
1676,23R27,0.64
1677,23R27,0.69
1678,23R27,0.81
1679,23R27,0.56
1680,23R27,0.75
1681,23R27,0.55
1682,23R27,0.55
1683,23R27,0.57
1684,23R27,0.53
1685,23R27,0.44
1686,23R27,0.39
1687,23R27,0.32
1688,23R27,0.36
1689,23R27,0.4
1690,23R27,0.38
1691,23R27,0.43
1692,23R27,0.55
1693,23R27,0.43
1694,23R27,0.42
1695,23R27,0.44
1696,23R27,0.37
1697,23R27,0.39
1698,23R27,0.36
1699,23R27,0.39
1700,23R27,0.39
1701,23R27,0.43
1702,23R27,0.38
1703,23R27,0.31
1704,23R27,0.3
1705,23R27,0.45
1706,23R27,0.36
1707,23R27,0.3
1708,23R27,0.14
1709,23R27,0.34
1710,23R27,0.26
1711,23R27,0.26
1712,23R27,0.36
1713,23R27,0.25
1714,23R27,0.33
1715,23R27,0.31
1716,23R27,0.35
1717,23R27,0.2
1718,23R27,0.25
1719,23R27,0.33
1720,23R27,0.41
1721,23R27,0.26
1722,23R27,0.24
1723,23R27,0.31
1724,23R27,0.27
1725,23R27,0.26
1726,23R27,0.23
1727,23R27,0.3
1728,23R27,0.21
1729,23R27,0.18
1730,23R27,0.2
1731,23R27,0.25
1732,23R27,0.25
1733,23R27,0.28
1734,23R27,0.29
1735,23R27,0.23
1736,23R27,0.21
1737,23R27,0.31
1738,23R27,0.27
1739,23R27,0.2
1740,23R27,0.2
1741,23R27,0.24
1742,23R27,0.17
1743,23R27,0.17
1744,23R27,0.16
1745,23R27,0.11
1746,23R27,0.21
1747,23R27,0.21
1748,23R27,0.19
1749,23R27,0.2
1750,23R27,0.22
1751,23R27,0.25
1752,23R27,0.2
1753,23R27,0.15
1754,23R27,0.19
1755,23R27,0.19
1756,23R27,0.14
1757,23R27,0.14
1758,23R27,0.17
1759,23R27,0.19
1760,23R27,0.17
1761,23R27,0.23
1762,23R27,0.21
1763,23R27,0.16
1764,23R27,0.2
1765,23R27,0.21
1766,23R27,0.23
1767,23R27,0.29
1768,23R27,0.24
1769,23R27,0.22
1770,23R27,0.24
1771,23R27,0.21
1772,23R27,0.28
1773,23R27,0.21
1774,23R27,0.23
1775,23R27,0.19
1776,23R27,0.23
1777,23R27,0.27
1778,23R27,0.18
1779,23R27,0.22
1780,23R27,0.23
1781,23R27,0.18
1782,23R27,0.18
1783,23R27,0.18
1784,23R27,0.2
1785,23R27,0.18
1786,23R27,0.19
1787,23R27,0.34
1788,23R27,0.15
1789,23R27,0.24
1790,23R27,0.18
1791,23R27,0.13
1792,23R27,0.2
1793,23R27,0.12
1794,23R27,0.21
1795,23R27,0.11
1796,23R27,0.16
1797,23R27,0.13
1798,23R27,0.13
1799,23R27,0.17
1800,23R27,0.16
1801,23R27,0.15
1802,23R27,0.16
1803,23R27,0.15
1804,23R27,0.1
1805,23R27,0.09
1806,23R27,0.11
1807,23R27,0.11
1808,23R27,0.13
1809,23R27,0.14
1810,23R27,0.2
1811,23R27,0.12
1812,23R27,0.13
1813,23R27,0.12
1814,23R27,0.15
1815,23R27,0.12
1816,23R27,0.12
1817,23R27,0.14
1818,23R27,0.18
1819,23R27,0.18
1820,23R27,0.2
1821,23R27,0.17
1822,23R27,0.17
1823,23R27,0.19
1824,23R27,0.13
1825,23R27,0.2
1826,23R27,0.21
1827,23R27,0.2
1828,23R27,0.22
1829,23R27,0.15
1830,23R27,0.18
1831,23R27,0.17
1832,23R27,0.13
1833,23R27,0.13
1834,23R27,0.15
1835,23R27,0.22
1836,23R27,0.16
1837,23R27,0.18
1838,23R27,0.21
1839,23R27,0.22
1840,23R27,0.23
1841,23R27,0.25
1842,23R27,0.19
1843,23R27,0.31
1844,23R27,0.23
1845,23R27,0.18
1846,23R27,0.2
1847,23R27,0.2
1848,23R27,0.2
1849,23R27,0.23
1850,23R27,0.2
1851,23R27,0.21
1852,23R27,0.22
1853,23R27,0.22
1854,23R27,0.26
1855,23R27,0.16
1856,23R27,0.16
1857,23R27,0.2
1858,23R27,0.24
1859,23R27,0.19
1860,23R27,0.21
1861,23R27,0.19
1862,23R27,0.23
1863,23R27,0.18
1864,23R27,0.19
1865,23R27,0.28
1866,23R27,0.25
1867,23R27,0.24
1868,23R27,0.25
1869,23R27,0.27
1870,23R27,0.27
1871,23R27,0.22
1872,23R27,0.31
1873,23R27,0.23
1874,23R27,0.22
1875,23R27,0.27
1876,23R27,0.28
1877,23R27,0.23
1878,23R27,0.26
1879,23R27,0.3
1880,23R27,0.24
1881,23R27,0.24
1882,23R27,0.21
1883,23R27,0.2
1884,23R27,0.26
1885,23R27,0.29
1886,23R27,0.21
1887,23R27,0.24
1888,23R27,0.26
1889,23R27,0.28
1890,23R27,0.22
1891,23R27,0.25
1892,23R27,0.26
1893,23R27,0.17
1894,23R27,0.21
1895,23R27,0.24
1896,23R27,0.22
1897,23R27,0.25
1898,23R27,0.23
1899,23R27,0.19
1900,23R27,0.22
1901,23R27,0.25
1902,23R27,0.21
1903,23R27,0.26
1904,23R27,0.31
1905,23R27,0.35
1906,23R27,0.28
1907,23R27,0.38
1908,23R27,0.38
1909,23R27,0.38
1910,23R27,0.34
1911,23R27,0.36
1912,23R27,0.33
1913,23R27,0.4
1914,23R27,0.38
1915,23R27,0.34
1916,23R27,0.3
1917,23R27,0.29
1918,23R27,0.38
1919,23R27,0.39
1920,23R27,0.32
1921,23R27,0.34
1922,23R27,0.32
1923,23R27,0.36
1924,23R27,0.3
1925,23R27,0.56
1926,23R27,0.37
1927,23R27,0.39
1928,23R27,0.43
1929,23R27,0.33
1930,23R27,0.33
1931,23R27,0.37
1932,23R27,0.33
1933,23R27,0.29
1934,23R27,0.33
1935,23R27,0.23
1936,23R27,0.23
1937,23R27,0.31
1938,23R27,0.26
1939,23R27,0.29
1940,23R27,0.26
1941,23R27,0.29
1942,23R27,0.26
1943,23R27,0.33
1944,23R27,0.27
1945,23R27,0.28
1946,23R27,0.27
1947,23R27,0.32
1948,23R27,0.29
1949,23R27,0.28
1950,23R27,0.28
1951,23R27,0.3
1952,23R27,0.29
1953,23R27,0.29
1954,23R27,0.38
1955,23R27,0.28
1956,23R27,0.28
1957,23R27,0.33
1958,23R27,0.23
1959,23R27,0.28
1960,23R27,0.32
1961,23R27,0.34
1962,23R27,0.33
1963,23R27,0.28
1964,23R27,0.34
1965,23R27,0.34
1966,23R27,0.36
1967,23R27,0.31
1968,23R27,0.35
1969,23R27,0.35
1970,23R27,0.34
1971,23R27,0.34
1972,23R27,0.42
1973,23R27,0.39
1974,23R27,0.39
1975,23R27,0.45
1976,23R27,0.37
1977,23R27,0.31
1978,23R27,0.34
1979,23R27,0.37
1980,23R27,0.41
1981,23R27,0.39
1982,23R27,0.41
1983,23R27,0.47
1984,23R27,0.5
1985,23R27,0.46
1986,23R27,0.43
1987,23R27,0.6
1988,23R27,0.5
1989,23R27,0.43
1990,23R27,0.28
1991,23R27,0.3
1992,23R27,0.36
1993,23R27,0.38
1994,23R27,0.37
1995,23R27,0.42
1996,23R27,0.48
1997,23R27,0.51
1998,23R27,0.6
1999,23R27,0.58
2000,23R27,0.58
2001,23R27,0.48
2002,23R27,0.44
2003,23R27,0.42
2004,23R27,0.39
2005,23R27,0.45
2006,23R27,0.47
2007,23R27,0.66
2008,23R27,0.54
2009,23R27,0.47
2010,23R27,0.36
2011,23R27,0.45
2012,23R27,0.35
2013,23R27,0.35
2014,23R27,0.41
2015,23R27,0.4
2016,23R27,0.34
2017,23R27,0.42
2018,23R27,0.47
2019,23R27,0.43
2020,23R27,0.53
2021,23R27,0.43
2022,23R27,0.48
1668,23R48,0.34
1669,23R48,0.33
1670,23R48,0.36
1671,23R48,0.31
1672,23R48,0.51
1673,23R48,0.34
1674,23R48,0.31
1675,23R48,0.29
1676,23R48,0.26
1677,23R48,0.27
1678,23R48,0.3
1679,23R48,0.28
1680,23R48,0.29
1681,23R48,0.35
1682,23R48,0.3
1683,23R48,0.44
1684,23R48,0.42
1685,23R48,0.37
1686,23R48,0.4
1687,23R48,0.44
1688,23R48,0.33
1689,23R48,0.41
1690,23R48,0.44
1691,23R48,0.39
1692,23R48,0.41
1693,23R48,0.43
1694,23R48,0.46
1695,23R48,0.58
1696,23R48,0.5
1697,23R48,0.41
1698,23R48,0.38
1699,23R48,0.41
1700,23R48,0.38
1701,23R48,0.38
1702,23R48,0.54
1703,23R48,0.28
1704,23R48,0.7
1705,23R48,0.46
1706,23R48,0.57
1707,23R48,0.44
1708,23R48,0.33
1709,23R48,0.46
1710,23R48,0.43
1711,23R48,0.67
1712,23R48,0.67
1713,23R48,0.6
1714,23R48,0.5
1715,23R48,0.46
1716,23R48,0.5
1717,23R48,0.66
1718,23R48,0.69
1719,23R48,0.64
1720,23R48,0.65
1721,23R48,0.43
1722,23R48,0.54
1723,23R48,0.55
1724,23R48,0.37
1725,23R48,0.39
1726,23R48,0.5
1727,23R48,0.58
1728,23R48,0.68
1729,23R48,0.7
1730,23R48,0.62
1731,23R48,0.59
1732,23R48,0.64
1733,23R48,0.39
1734,23R48,0.59
1735,23R48,0.56
1736,23R48,0.6
1737,23R48,0.7
1738,23R48,0.69
1739,23R48,0.55
1740,23R48,0.69
1741,23R48,0.77
1742,23R48,0.62
1743,23R48,0.68
1744,23R48,0.51
1745,23R48,0.72
1746,23R48,0.57
1747,23R48,0.66
1748,23R48,0.6
1749,23R48,0.75
1750,23R48,0.83
1751,23R48,0.67
1752,23R48,0.55
1753,23R48,0.54
1754,23R48,0.65
1755,23R48,0.65
1756,23R48,0.82
1757,23R48,0.72
1758,23R48,0.68
1759,23R48,0.73
1760,23R48,0.64
1761,23R48,0.61
1762,23R48,0.67
1763,23R48,0.65
1764,23R48,0.59
1765,23R48,0.61
1766,23R48,0.56
1767,23R48,0.71
1768,23R48,0.62
1769,23R48,0.6
1770,23R48,0.63
1771,23R48,0.63
1772,23R48,0.62
1773,23R48,0.47
1774,23R48,0.46
1775,23R48,0.53
1776,23R48,0.62
1777,23R48,0.61
1778,23R48,0.53
1779,23R48,0.59
1780,23R48,0.66
1781,23R48,0.46
1782,23R48,0.44
1783,23R48,0.5
1784,23R48,0.64
1785,23R48,0.53
1786,23R48,0.52
1787,23R48,0.49
1788,23R48,0.49
1789,23R48,0.44
1790,23R48,0.38
1791,23R48,0.48
1792,23R48,0.45
1793,23R48,0.5
1794,23R48,0.47
1795,23R48,0.46
1796,23R48,0.43
1797,23R48,0.39
1798,23R48,0.5
1799,23R48,0.44
1800,23R48,0.55
1801,23R48,0.45
1802,23R48,0.46
1803,23R48,0.58
1804,23R48,0.62
1805,23R48,0.44
1806,23R48,0.43
1807,23R48,0.5
1808,23R48,0.49
1809,23R48,0.37
1810,23R48,0.3
1811,23R48,0.44
1812,23R48,0.43
1813,23R48,0.46
1814,23R48,0.49
1815,23R48,0.51
1816,23R48,0.48
1817,23R48,0.43
1818,23R48,0.38
1819,23R48,0.4
1820,23R48,0.37
1821,23R48,0.41
1822,23R48,0.4
1823,23R48,0.43
1824,23R48,0.42
1825,23R48,0.37
1826,23R48,0.49
1827,23R48,0.56
1828,23R48,0.58
1829,23R48,0.49
1830,23R48,0.45
1831,23R48,0.51
1832,23R48,0.34
1833,23R48,0.39
1834,23R48,0.34
1835,23R48,0.45
1836,23R48,0.37
1837,23R48,0.4
1838,23R48,0.24
1839,23R48,0.39
1840,23R48,0.28
1841,23R48,0.31
1842,23R48,0.3
1843,23R48,0.38
1844,23R48,0.32
1845,23R48,0.31
1846,23R48,0.28
1847,23R48,0.36
1848,23R48,0.34
1849,23R48,0.36
1850,23R48,0.35
1851,23R48,0.29
1852,23R48,0.29
1853,23R48,0.4
1854,23R48,0.32
1855,23R48,0.27
1856,23R48,0.29
1857,23R48,0.33
1858,23R48,0.25
1859,23R48,0.31
1860,23R48,0.28
1861,23R48,0.29
1862,23R48,0.33
1863,23R48,0.44
1864,23R48,0.23
1865,23R48,0.25
1866,23R48,0.3
1867,23R48,0.21
1868,23R48,0.25
1869,23R48,0.27
1870,23R48,0.22
1871,23R48,0.27
1872,23R48,0.31
1873,23R48,0.32
1874,23R48,0.26
1875,23R48,0.21
1876,23R48,0.23
1877,23R48,0.31
1878,23R48,0.31
1879,23R48,0.13
1880,23R48,0.06
1881,23R48,0.11
1882,23R48,0.11
1883,23R48,0.08
1884,23R48,0.24
1885,23R48,0.19
1886,23R48,0.17
1887,23R48,0.13
1888,23R48,0.13
1889,23R48,0.11
1890,23R48,0.16
1891,23R48,0.11
1892,23R48,0.19
1893,23R48,0.23
1894,23R48,0.27
1895,23R48,0.29
1896,23R48,0.28
1897,23R48,0.18
1898,23R48,0.27
1899,23R48,0.15
1900,23R48,0.21
1901,23R48,0.17
1902,23R48,0.22
1903,23R48,0.23
1904,23R48,0.21
1905,23R48,0.21
1906,23R48,0.18
1907,23R48,0.19
1908,23R48,0.27
1909,23R48,0.25
1910,23R48,0.26
1911,23R48,0.3
1912,23R48,0.26
1913,23R48,0.23
1914,23R48,0.29
1915,23R48,0.21
1916,23R48,0.32
1917,23R48,0.23
1918,23R48,0.26
1919,23R48,0.3
1920,23R48,0.27
1921,23R48,0.22
1922,23R48,0.19
1923,23R48,0.19
1924,23R48,0.21
1925,23R48,0.21
1926,23R48,0.18
1927,23R48,0.22
1928,23R48,0.17
1929,23R48,0.22
1930,23R48,0.23
1931,23R48,0.23
1932,23R48,0.23
1933,23R48,0.18
1934,23R48,0.17
1935,23R48,0.23
1936,23R48,0.15
1937,23R48,0.19
1938,23R48,0.2
1939,23R48,0.19
1940,23R48,0.23
1941,23R48,0.16
1942,23R48,0.23
1943,23R48,0.18
1944,23R48,0.23
1945,23R48,0.23
1946,23R48,0.15
1947,23R48,0.26
1948,23R48,0.33
1949,23R48,0.31
1950,23R48,0.29
1951,23R48,0.24
1952,23R48,0.17
1953,23R48,0.3
1954,23R48,0.3
1955,23R48,0.26
1956,23R48,0.26
1957,23R48,0.38
1958,23R48,0.3
1959,23R48,0.42
1960,23R48,0.47
1961,23R48,0.46
1962,23R48,0.35
1963,23R48,0.38
1964,23R48,0.48
1965,23R48,0.42
1966,23R48,0.42
1967,23R48,0.43
1968,23R48,0.37
1969,23R48,0.25
1970,23R48,0.53
1971,23R48,0.44
1972,23R48,0.34
1973,23R48,0.52
1974,23R48,0.43
1975,23R48,0.46
1976,23R48,0.46
1977,23R48,0.4
1978,23R48,0.34
1979,23R48,0.29
1980,23R48,0.39
1981,23R48,0.39
1982,23R48,0.4
1983,23R48,0.42
1984,23R48,0.58
1985,23R48,0.36
1986,23R48,0.41
1987,23R48,0.43
1988,23R48,0.39
1989,23R48,0.36
1990,23R48,0.25
1991,23R48,0.26
1992,23R48,0.15
1993,23R48,0.18
1994,23R48,0.28
1995,23R48,0.27
1996,23R48,0.25
1997,23R48,0.24
1998,23R48,0.28
1999,23R48,0.2
2000,23R48,0.22
2001,23R48,0.26
2002,23R48,0.28
2003,23R48,0.18
2004,23R48,0.23
2005,23R48,0.16
2006,23R48,0.24
2007,23R48,0.27
2008,23R48,0.23
2009,23R48,0.25
2010,23R48,0.28
2011,23R48,0.29
2012,23R48,0.29
2013,23R48,0.35
2014,23R48,0.32
2015,23R48,0.23
2016,23R48,0.27
2017,23R48,0.33
2018,23R48,0.35
2019,23R48,0.35
2020,23R48,0.37
2021,23R48,0.39
2022,23R48,0.41
1942,23R54,2.57
1943,23R54,3.27
1944,23R54,2.91
1945,23R54,2.39
1946,23R54,2.62
1947,23R54,2.2
1948,23R54,2.75
1949,23R54,3.54
1950,23R54,2.85
1951,23R54,2.8
1952,23R54,3.22
1953,23R54,2.89
1954,23R54,2.95
1955,23R54,2.76
1956,23R54,2.42
1957,23R54,2.46
1958,23R54,2.07
1959,23R54,3.01
1960,23R54,2.09
1961,23R54,2.02
1962,23R54,2.05
1963,23R54,2.81
1964,23R54,2.61
1965,23R54,2.49
1966,23R54,2.24
1967,23R54,2.57
1968,23R54,1.78
1969,23R54,1.54
1970,23R54,2.59
1971,23R54,2.3
1972,23R54,2.52
1973,23R54,2.33
1974,23R54,2.32
1975,23R54,2.28
1976,23R54,2.33
1977,23R54,1.98
1978,23R54,1.87
1979,23R54,1.43
1980,23R54,1.72
1981,23R54,1.89
1982,23R54,1.56
1983,23R54,1.27
1984,23R54,1.44
1985,23R54,1.49
1986,23R54,1.7
1987,23R54,1.44
1988,23R54,1.46
1989,23R54,1.12
1990,23R54,0.89
1991,23R54,1.07
1992,23R54,0.71
1993,23R54,0.99
1994,23R54,1.4
1995,23R54,1.4
1996,23R54,1.36
1997,23R54,1.23
1998,23R54,1.07
1999,23R54,0.87
2000,23R54,0.76
2001,23R54,0.71
2002,23R54,0.58
2003,23R54,0.62
2004,23R54,0.58
2005,23R54,0.94
2006,23R54,1.17
2007,23R54,1.04
2008,23R54,1.14
2009,23R54,1.23
2010,23R54,1.21
2011,23R54,1.4
2012,23R54,1.28
2013,23R54,1.36
2014,23R54,1.14
2015,23R54,0.71
2016,23R54,0.59
2017,23R54,0.68
2018,23R54,0.67
2019,23R54,0.75
2020,23R54,0.79
2021,23R54,0.87
2022,23R54,1.01
2023,23R54,1.08
1751,23T106,0.48
1752,23T106,0.48
1753,23T106,0.45
1754,23T106,0.47
1755,23T106,0.39
1756,23T106,0.64
1757,23T106,0.43
1758,23T106,0.58
1759,23T106,0.65
1760,23T106,0.77
1761,23T106,0.62
1762,23T106,0.46
1763,23T106,0.59
1764,23T106,0.65
1765,23T106,0.72
1766,23T106,0.63
1767,23T106,0.71
1768,23T106,0.6
1769,23T106,0.58
1770,23T106,0.69
1771,23T106,0.78
1772,23T106,0.76
1773,23T106,0.95
1774,23T106,0.88
1775,23T106,0.9
1776,23T106,0.91
1777,23T106,0.84
1778,23T106,0.94
1779,23T106,0.63
1780,23T106,0.84
1781,23T106,1.01
1782,23T106,1.05
1783,23T106,1.1
1784,23T106,1.43
1785,23T106,1.24
