TRE_CN,PLT_CN,Year,RW,MEASYEAR
2945867010690,2945854010690,1873,0.62,1997
2945867010690,2945854010690,1874,0.54,1997
2945867010690,2945854010690,1875,0.51,1997
2945867010690,2945854010690,1876,0.49,1997
2945867010690,2945854010690,1877,0.39,1997
2945867010690,2945854010690,1878,0.38,1997
2945867010690,2945854010690,1879,0.6,1997
2945867010690,2945854010690,1880,0.51,1997
2945867010690,2945854010690,1881,0.58,1997
2945867010690,2945854010690,1882,0.58,1997
2945867010690,2945854010690,1883,0.46,1997
2945867010690,2945854010690,1884,0.66,1997
2945867010690,2945854010690,1885,0.39,1997
2945867010690,2945854010690,1886,0.42,1997
2945867010690,2945854010690,1887,0.9,1997
2945867010690,2945854010690,1888,1.2,1997
2945867010690,2945854010690,1889,0.89,1997
2945867010690,2945854010690,1890,0.58,1997
2945867010690,2945854010690,1891,0.31,1997
2945867010690,2945854010690,1892,0.42,1997
2945867010690,2945854010690,1893,0.39,1997
2945867010690,2945854010690,1894,0.12,1997
2945867010690,2945854010690,1895,0.36,1997
2945867010690,2945854010690,1896,0.4,1997
2945867010690,2945854010690,1897,0.33,1997
2945867010690,2945854010690,1898,0.35,1997
2945867010690,2945854010690,1899,0.33,1997
2945867010690,2945854010690,1900,0.27,1997
2945867010690,2945854010690,1901,0.25,1997
2945867010690,2945854010690,1902,0.49,1997
2945867010690,2945854010690,1903,0.29,1997
2945867010690,2945854010690,1904,0.31,1997
2945867010690,2945854010690,1905,0.37,1997
2945867010690,2945854010690,1906,0.33,1997
2945867010690,2945854010690,1907,0.39,1997
2945867010690,2945854010690,1908,0.38,1997
2945867010690,2945854010690,1909,0.62,1997
2945867010690,2945854010690,1910,0.28,1997
2945867010690,2945854010690,1911,0.57,1997
2945867010690,2945854010690,1912,0.65,1997
2945867010690,2945854010690,1913,0.46,1997
2945867010690,2945854010690,1914,0.57,1997
2945867010690,2945854010690,1915,0.42,1997
2945867010690,2945854010690,1916,0.32,1997
2945867010690,2945854010690,1917,0.36,1997
2945867010690,2945854010690,1918,0.36,1997
2945867010690,2945854010690,1919,0.32,1997
2945867010690,2945854010690,1920,0.37,1997
2945867010690,2945854010690,1921,0.48,1997
2945867010690,2945854010690,1922,0.36,1997
2945867010690,2945854010690,1923,0.34,1997
2945867010690,2945854010690,1924,0.45,1997
2945867010690,2945854010690,1925,0.42,1997
2945867010690,2945854010690,1926,0.46,1997
2945867010690,2945854010690,1927,0.39,1997
2945867010690,2945854010690,1928,0.27,1997
2945867010690,2945854010690,1929,0.22,1997
