TRE_CN,MEASYEAR,Year,RW,DIA
23R1,2023,1855,1.68,12.1
23R1,2023,1856,1.03,12.1
23R1,2023,1857,1.12,12.1
23R1,2023,1858,1.15,12.1
23R1,2023,1859,1.4,12.1
23R1,2023,1860,1.34,12.1
23R1,2023,1861,1.05,12.1
23R1,2023,1862,0.19,12.1
23R1,2023,1863,0.92,12.1
23R1,2023,1864,1.24,12.1
23R1,2023,1865,0.87,12.1
23R1,2023,1866,0.56,12.1
23R1,2023,1867,0.91,12.1
23R1,2023,1868,0.77,12.1
23R1,2023,1869,0.78,12.1
23R1,2023,1870,0.73,12.1
23R1,2023,1871,0.78,12.1
23R1,2023,1872,1.09,12.1
23R1,2023,1873,1.64,12.1
23R1,2023,1874,1.47,12.1
23R1,2023,1875,0.68,12.1
23R1,2023,1876,0.74,12.1
23R1,2023,1877,0.52,12.1
23R1,2023,1878,0.53,12.1
23R1,2023,1879,0.7,12.1
23R1,2023,1880,0.66,12.1
23R1,2023,1881,0.87,12.1
23R1,2023,1882,0.91,12.1
23R1,2023,1883,0.76,12.1
23R1,2023,1884,0.98,12.1
23R1,2023,1885,1.07,12.1
23R1,2023,1886,1.06,12.1
23R1,2023,1887,1.26,12.1
23R1,2023,1888,1.82,12.1
23R1,2023,1889,0.63,12.1
23R1,2023,1890,0.61,12.1
23R1,2023,1891,1.08,12.1
23R1,2023,1892,0.67,12.1
23R1,2023,1893,0.68,12.1
23R1,2023,1894,0.56,12.1
23R1,2023,1895,0.58,12.1
23R1,2023,1896,0.48,12.1
23R1,2023,1897,0.52,12.1
23R1,2023,1898,0.58,12.1
23R1,2023,1899,0.72,12.1
23R1,2023,1900,0.83,12.1
23R1,2023,1901,0.72,12.1
23R1,2023,1902,0.87,12.1
23R1,2023,1903,0.76,12.1
23R1,2023,1904,1.28,12.1
23R1,2023,1905,1.13,12.1
23R1,2023,1906,0.69,12.1
23R1,2023,1907,0.65,12.1
23R1,2023,1908,0.65,12.1
23R1,2023,1909,0.6,12.1
23R1,2023,1910,0.72,12.1
23R1,2023,1911,0.83,12.1
23R1,2023,1912,0.82,12.1
23R1,2023,1913,0.9,12.1
23R1,2023,1914,0.91,12.1
23R1,2023,1915,0.93,12.1
23R1,2023,1916,0.72,12.1
23R1,2023,1917,0.46,12.1
23R1,2023,1918,0.66,12.1
23R1,2023,1919,0.94,12.1
23R1,2023,1920,0.79,12.1
23R1,2023,1921,0.76,12.1
23R1,2023,1922,0.72,12.1
23R1,2023,1923,0.44,12.1
23R1,2023,1924,0.69,12.1
23R1,2023,1925,0.63,12.1
23R1,2023,1926,0.55,12.1
23R1,2023,1927,0.53,12.1
23R1,2023,1928,0.63,12.1
23R1,2023,1929,0.53,12.1
23R1,2023,1930,0.52,12.1
23R1,2023,1931,0.56,12.1
23R1,2023,1932,0.4,12.1
23R1,2023,1933,0.36,12.1
23R1,2023,1934,0.52,12.1
23R1,2023,1935,0.73,12.1
23R1,2023,1936,0.65,12.1
23R1,2023,1937,0.69,12.1
23R1,2023,1938,0.75,12.1
23R1,2023,1939,0.89,12.1
23R1,2023,1940,0.89,12.1
23R1,2023,1941,0.84,12.1
23R1,2023,1942,0.81,12.1
23R1,2023,1943,0.88,12.1
23R1,2023,1944,0.83,12.1
23R1,2023,1945,0.62,12.1
23R1,2023,1946,0.77,12.1
23R1,2023,1947,1.03,12.1
23R1,2023,1948,0.86,12.1
23R1,2023,1949,1.01,12.1
23R1,2023,1950,0.86,12.1
23R1,2023,1951,1.4,12.1
23R1,2023,1952,1.03,12.1
23R1,2023,1953,0.86,12.1
23R1,2023,1954,0.8,12.1
23R1,2023,1955,0.84,12.1
23R1,2023,1956,0.8,12.1
23R1,2023,1957,0.87,12.1
23R1,2023,1958,0.83,12.1
23R1,2023,1959,0.76,12.1
23R1,2023,1960,0.96,12.1
23R1,2023,1961,0.75,12.1
23R1,2023,1962,0.66,12.1
23R1,2023,1963,1.2,12.1
23R1,2023,1964,0.87,12.1
23R1,2023,1965,0.71,12.1
23R1,2023,1966,0.83,12.1
23R1,2023,1967,0.65,12.1
23R1,2023,1968,0.74,12.1
23R1,2023,1969,0.95,12.1
23R1,2023,1970,1.01,12.1
23R1,2023,1971,1.04,12.1
23R1,2023,1972,0.79,12.1
23R1,2023,1973,1.14,12.1
23R1,2023,1974,1.07,12.1
23R1,2023,1975,0.81,12.1
23R1,2023,1976,0.91,12.1
23R1,2023,1977,0.82,12.1
23R1,2023,1978,0.76,12.1
23R1,2023,1979,0.88,12.1
23R1,2023,1980,1.26,12.1
23R1,2023,1981,0.9,12.1
23R1,2023,1982,1.12,12.1
23R1,2023,1983,1.18,12.1
23R1,2023,1984,1.1,12.1
23R1,2023,1985,0.98,12.1
23R1,2023,1986,0.91,12.1
23R1,2023,1987,0.91,12.1
23R1,2023,1988,0.81,12.1
23R1,2023,1989,0.58,12.1
23R1,2023,1990,0.53,12.1
23R1,2023,1991,0.6,12.1
23R1,2023,1992,0.62,12.1
23R1,2023,1993,0.72,12.1
23R1,2023,1994,1,12.1
23R1,2023,1995,0.65,12.1
23R1,2023,1996,0.53,12.1
23R1,2023,1997,0.52,12.1
23R1,2023,1998,0.38,12.1
23R1,2023,1999,0.38,12.1
23R1,2023,2000,0.42,12.1
23R1,2023,2001,0.41,12.1
23R1,2023,2002,0.43,12.1
23R1,2023,2003,0.34,12.1
23R1,2023,2004,0.27,12.1
23R1,2023,2005,0.38,12.1
23R1,2023,2006,0.35,12.1
23R1,2023,2007,0.34,12.1
23R1,2023,2008,0.39,12.1
23R1,2023,2009,0.44,12.1
23R1,2023,2010,0.35,12.1
23R1,2023,2011,0.36,12.1
23R1,2023,2012,0.44,12.1
23R1,2023,2013,0.38,12.1
23R1,2023,2014,0.48,12.1
23R1,2023,2015,0.4,12.1
23R1,2023,2016,0.42,12.1
23R1,2023,2017,0.54,12.1
23R1,2023,2018,0.5,12.1
23R1,2023,2019,0.55,12.1
23R1,2023,2020,0.54,12.1
23R1,2023,2021,0.41,12.1
23R1,2023,2022,0.31,12.1
23R1,2023,2023,0.5,12.1
23R2,2023,1952,0.29,8.2
23R2,2023,1953,0.15,8.2
23R2,2023,1954,0.23,8.2
23R2,2023,1955,0.42,8.2
23R2,2023,1956,0.2,8.2
23R2,2023,1957,0.13,8.2
23R2,2023,1958,0.21,8.2
23R2,2023,1959,0.47,8.2
23R2,2023,1960,0.58,8.2
23R2,2023,1961,0.57,8.2
23R2,2023,1962,0.66,8.2
23R2,2023,1963,0.76,8.2
23R2,2023,1964,0.74,8.2
23R2,2023,1965,0.49,8.2
23R2,2023,1966,0.75,8.2
23R2,2023,1967,0.57,8.2
23R2,2023,1968,0.98,8.2
23R2,2023,1969,0.83,8.2
23R2,2023,1970,0.57,8.2
23R2,2023,1971,0.71,8.2
23R2,2023,1972,0.76,8.2
23R2,2023,1973,1.25,8.2
23R2,2023,1974,1,8.2
23R2,2023,1975,1.16,8.2
23R2,2023,1976,1.5,8.2
23R2,2023,1977,1.15,8.2
23R2,2023,1978,1.2,8.2
23R2,2023,1979,1.32,8.2
23R2,2023,1980,1.4,8.2
23R2,2023,1981,1.83,8.2
23R2,2023,1982,1.45,8.2
23R2,2023,1983,1.59,8.2
23R2,2023,1984,1.7,8.2
23R2,2023,1985,1.64,8.2
23R2,2023,1986,1.68,8.2
23R2,2023,1987,1.22,8.2
23R2,2023,1988,1.03,8.2
23R2,2023,1989,0.91,8.2
23R2,2023,1990,0.82,8.2
23R2,2023,1991,1.11,8.2
23R2,2023,1992,1.69,8.2
23R2,2023,1993,1.75,8.2
23R2,2023,1994,1.97,8.2
23R2,2023,1995,1.65,8.2
23R2,2023,1996,3.19,8.2
23R2,2023,1997,3.61,8.2
23R2,2023,1998,2.33,8.2
23R2,2023,1999,1.77,8.2
23R2,2023,2000,1.47,8.2
23R2,2023,2001,0.94,8.2
23R2,2023,2002,1.43,8.2
23R2,2023,2003,2.13,8.2
23R2,2023,2004,1.64,8.2
23R2,2023,2005,1.52,8.2
23R2,2023,2006,1.92,8.2
23R2,2023,2007,1.18,8.2
23R2,2023,2008,1.3,8.2
23R2,2023,2009,1.41,8.2
23R2,2023,2010,1.16,8.2
23R2,2023,2011,1.13,8.2
23R2,2023,2012,1.61,8.2
23R2,2023,2013,0.89,8.2
23R2,2023,2014,1.42,8.2
23R2,2023,2015,2.17,8.2
23R2,2023,2016,1.94,8.2
23R2,2023,2017,2.4,8.2
23R2,2023,2018,2.15,8.2
23R2,2023,2019,1.67,8.2
23R2,2023,2020,1.23,8.2
23R2,2023,2021,0.87,8.2
23R2,2023,2022,1.04,8.2
23R21,2023,1989,2.05,8.1
23R21,2023,1990,2.09,8.1
23R21,2023,1991,2.83,8.1
23R21,2023,1992,3.11,8.1
23R21,2023,1993,2.78,8.1
23R21,2023,1994,2.62,8.1
23R21,2023,1995,2.98,8.1
23R21,2023,1996,2.96,8.1
23R21,2023,1997,3.33,8.1
23R21,2023,1998,3.31,8.1
23R21,2023,1999,3.23,8.1
23R21,2023,2000,3.69,8.1
23R21,2023,2001,4.37,8.1
23R21,2023,2002,5.06,8.1
23R21,2023,2003,3.39,8.1
23R21,2023,2004,2.93,8.1
23R21,2023,2005,3.48,8.1
23R21,2023,2006,3.58,8.1
23R21,2023,2007,3.71,8.1
23R21,2023,2008,2.96,8.1
23R21,2023,2009,3.65,8.1
23R21,2023,2010,3.83,8.1
23R21,2023,2011,2.75,8.1
23R21,2023,2012,3.14,8.1
23R21,2023,2013,2.88,8.1
23R21,2023,2014,3.59,8.1
23R21,2023,2015,2.56,8.1
23R21,2023,2016,2.23,8.1
23R21,2023,2017,3.28,8.1
23R21,2023,2018,3.56,8.1
23R21,2023,2019,3.1,8.1
23R21,2023,2020,2.85,8.1
23R21,2023,2021,1.95,8.1
23R21,2023,2022,1.14,8.1
23R21,2023,2023,1.1,8.1
23R27,2023,1670,0.49,11.9
23R27,2023,1671,0.35,11.9
23R27,2023,1672,0.3,11.9
23R27,2023,1673,0.39,11.9
23R27,2023,1674,0.26,11.9
