"CN","Year","RW"
"289855724489998",1872,0.21
"289855724489998",1873,0.16
"289855724489998",1874,0.43
"289855724489998",1875,0.61
"289855724489998",1876,0.56
"289855724489998",1877,0.28
"289855724489998",1878,0.08
"289855724489998",1879,0.34
"289855724489998",1880,0.34
"289855724489998",1881,0.85
"289855724489998",1882,0.37
"289855724489998",1883,0.47
"289855724489998",1884,0.53
"289855724489998",1885,0.46
"289855724489998",1886,0.78
"289855724489998",1887,1.38
"289855724489998",1888,1.31
"289855724489998",1889,1.04
"289855724489998",1890,0.90
"289855724489998",1891,0.87
"289855724489998",1892,0.80
"289855724489998",1893,0.91
"289855724489998",1894,0.85
"289855724489998",1895,0.97
"289855724489998",1896,0.80
"289855724489998",1897,0.74
"289855724489998",1898,0.90
"289855724489998",1899,0.68
"289855724489998",1900,0.74
"289855724489998",1901,0.67
"289855724489998",1902,0.72
"289855724489998",1903,0.87
"289855724489998",1904,0.90
"289855724489998",1905,0.77
"289855724489998",1906,0.98
"289855724489998",1907,0.75
"289855724489998",1908,0.71
"289855724489998",1909,0.83
"289855724489998",1910,0.77
"289855724489998",1911,0.80
"289855724489998",1912,0.61
"289855724489998",1913,0.80
"289855724489998",1914,1.01
"289855724489998",1915,0.88
"289855724489998",1916,0.91
"289855724489998",1917,0.61
"289855724489998",1918,0.62
"289855724489998",1919,0.48
"289855724489998",1920,0.31
"289855724489998",1921,0.49
"289855724489998",1922,0.54
"289855724489998",1923,0.44
"289855724489998",1924,0.40
"289855724489998",1925,0.42
"289855724489998",1926,0.56
"289855724489998",1927,0.31
"289855724489998",1928,0.33
"289855724489998",1929,0.30
"289855724489998",1930,0.26
"289855724489998",1931,0.18
"289855724489998",1932,0.40
"289855724489998",1933,0.35
"289855724489998",1934,0.34
"289855724489998",1935,0.48
"289855724489998",1936,0.69
"289855724489998",1937,0.64
"289855724489998",1938,1.29
"289855724489998",1939,1.18
"289855724489998",1940,1.28
"289855724489998",1941,1.41
"289855724489998",1942,1.64
"289855724489998",1943,1.07
"289855724489998",1944,1.88
"289855724489998",1945,1.57
"289855724489998",1946,1.46
"289855724489998",1947,2.42
"289855724489998",1948,1.57
"289855724489998",1949,0.98
"289855724489998",1950,0.53
"289855724489998",1951,0.48
"289855724489998",1952,0.92
"289855724489998",1953,0.58
"289855724489998",1954,0.68
"289855724489998",1955,0.70
"289855724489998",1956,0.42
"289855724489998",1957,0.57
"289855724489998",1958,0.46
"289855724489998",1959,0.25
"289855724489998",1960,0.38
"289855724489998",1961,0.36
"289855724489998",1962,0.61
"289855724489998",1963,0.44
"289855724489998",1964,0.73
"289855724489998",1965,0.70
"289855724489998",1966,0.69
"289855724489998",1967,0.71
"289855724489998",1968,0.74
"289855724489998",1969,1.12
"289855724489998",1970,0.83
"289855724489998",1971,1.16
"289855724489998",1972,0.91
"289855724489998",1973,0.66
"289855724489998",1974,0.51
"289855724489998",1975,0.89
"289855724489998",1976,0.67
"289855724489998",1977,0.45
"289855724489998",1978,0.73
"289855724489998",1979,0.57
"289855724489998",1980,0.48
"289855724489998",1981,0.56
"289855724489998",1982,0.46
"289855724489998",1983,0.63
"289855724489998",1984,0.72
"289855724489998",1985,0.62
"289855724489998",1986,0.65
"289855724489998",1987,0.38
"289855724489998",1988,0.46
"289855724489998",1989,0.48
"289855724489998",1990,0.19
"289855724489998",1991,0.22
"289855724489998",1992,0.25
"289855724489998",1993,0.18
"289855750489998",1942,0.91
"289855750489998",1943,0.93
"289855750489998",1944,0.73
"289855750489998",1945,0.77
"289855750489998",1946,0.97
"289855750489998",1947,0.57
"289855750489998",1948,0.80
"289855750489998",1949,0.67
"289855750489998",1950,0.66
"289855750489998",1951,0.57
"289855750489998",1952,0.58
"289855750489998",1953,0.73
"289855750489998",1954,0.56
"289855750489998",1955,0.68
"289855750489998",1956,0.74
"289855750489998",1957,0.34
"289855750489998",1958,0.32
"289855750489998",1959,0.44
"289855750489998",1960,0.64
"289855750489998",1961,0.58
"289855750489998",1962,0.53
"289855750489998",1963,0.79
"289855750489998",1964,0.51
"289855750489998",1965,0.58
"289855750489998",1966,0.91
"289855750489998",1967,0.85
"289855750489998",1968,0.92
"289855750489998",1969,0.69
"289855750489998",1970,1.45
"289855750489998",1971,1.36
"289855750489998",1972,1.42
"289855750489998",1973,1.30
"289855750489998",1974,1.58
"289855750489998",1975,1.36
"289855750489998",1976,1.39
"289855750489998",1977,0.76
"289855750489998",1978,0.40
"289855750489998",1979,0.87
"289855750489998",1980,1.22
"289855750489998",1981,0.90
"289855750489998",1982,0.98
"289855750489998",1983,1.04
"289855750489998",1984,1.34
"289855750489998",1985,1.37
"289855750489998",1986,1.20
"289855750489998",1987,1.30
"289855750489998",1988,1.43
"289855750489998",1989,1.44
"289855750489998",1990,0.85
"289855750489998",1991,1.05
"289855750489998",1992,0.84
"289855750489998",1993,1.09
"289855750489998",1994,0.90
"289855750489998",1995,0.51
"289855760489998",1925,1.13
"289855760489998",1926,1.50
"289855760489998",1927,1.37
"289855760489998",1928,1.09
"289855760489998",1929,1.50
"289855760489998",1930,1.62
"289855760489998",1931,1.44
"289855760489998",1932,0.98
"289855760489998",1933,1.56
"289855760489998",1934,1.60
"289855760489998",1935,1.36
"289855760489998",1936,1.55
"289855760489998",1937,2.33
"289855760489998",1938,1.80
"289855760489998",1939,1.72
"289855760489998",1940,1.06
"289855760489998",1941,0.55
"289855760489998",1942,1.18
"289855760489998",1943,0.86
"289855760489998",1944,0.42
"289855760489998",1945,0.53
"289855760489998",1946,0.70
"289855760489998",1947,0.56
"289855760489998",1948,0.71
"289855760489998",1949,0.84
"289855760489998",1950,0.86
"289855760489998",1951,0.89
"289855760489998",1952,0.82
"289855760489998",1953,1.30
"289855760489998",1954,0.99
"289855760489998",1955,1.53
"289855760489998",1956,1.50
"289855760489998",1957,1.78
"289855760489998",1958,1.40
"289855760489998",1959,1.83
"289855760489998",1960,1.00
"289855760489998",1961,0.75
"289855760489998",1962,0.88
"289855760489998",1963,0.63
"289855760489998",1964,0.91
"289855760489998",1965,0.92
"289855760489998",1966,0.99
"289855760489998",1967,1.33
"289855760489998",1968,1.29
"289855760489998",1969,1.90
"289855760489998",1970,1.23
"289855760489998",1971,1.26
"289855760489998",1972,1.03
"289855760489998",1973,1.18
"289855760489998",1974,1.08
"289855760489998",1975,1.00
"289855760489998",1976,0.95
"289855760489998",1977,0.56
"289855760489998",1978,1.05
"289855760489998",1979,1.18
"289855760489998",1980,1.48
"289855760489998",1981,1.87
"289855760489998",1982,1.74
"289855760489998",1983,1.69
"289855760489998",1984,2.03
