"CN","STATECD","COUNTYCD","PLOT","PLOT_OLD","FIADB_PLOT","FIADB_TREE","SUBP","TREE","SPCD","TRE_REP","DIA","MEASYEAR","CNT_HT","CNT_LGTH","CNT_X","PITH","RINGCOUNT","METHOD","INITIALS","DAY","MONTH","YEAR","MOUNT_NOTES","CRN","R","VERIFY","REVISIT","CD_NOTES","PLT_CN","TRE_CN","SIT_CN"
"295714903489998",16,59,124,,,,1,1,101,,12.40,1991,,,,"y",120,"scope","RS",0,5,2014,,"knc",4.0e-03,"n","y",,"3326030010690","3326041010690",
"295714904489998",16,59,124,,,,1,2,101,,12.20,1991,,,,"n",118,"scope","RS",0,9,2014,,"id014",0.00,"n","y",,"3326030010690","3326042010690",
"295714913489998",16,59,285,,,,2,2,101,,11.40,1991,,,,"y",116,"scope","RS",0,9,2014,,"scr",0.00,"n","y",,"3327914010690","3327929010690",
"289859183489998",30,1,42,,,,2,1,101,,8.70,1997,0.90,10.10,1.10,"n",152,"scope","AB",0,11,2011,"no loc 42",,,,,,,,
"289859184489998",30,1,43,,,,1,6,101,,11.00,1989,0.70,4.50,4.20,"n",72,"scope","SH",0,11,2011,,,,,,,,,
"289859185489998",30,1,43,,,,3,3,101,,9.90,1997,0.10,1.90,0.20,"n",165,"scope","MK",0,10,2011,"no loc 43",,,,,,,,
"289859193489998",30,1,50,,,,2,3,101,,6.60,1997,0.60,6.00,0.60,"n",125,"scope","SH",0,11,2011,,,,,,,"2945854010690","2945867010690",
"289859207489998",30,1,72,,,,1,6,101,,11.50,1997,,,,"n",218,"scope","SH",0,11,2011,"subp spcd missing on mount",,,,,,"2946356010690",,
"295714724489998",16,49,474,,,,4,2,101,,12.50,1995,0.40,2.00,1.10,"n",226,"scope","BL",0,3,2013,,"id013",0.18,,"y",,"3300316010690","3300351010690",
"295714758489998",16,49,599,,,,4,4,101,,7.70,1995,2.90,19.20,2.70,"n",70,"scope","SD",0,4,2013,,"scr",0.20,"n","y",,"3310277010690",,
