"CN","Year","RW","SPCD"
"289859183489998",1845,1.27,101
"289859183489998",1846,1.04,101
"289859183489998",1847,1.02,101
"289859183489998",1848,1.24,101
"289859183489998",1849,0.97,101
"289859183489998",1850,1.11,101
"289859183489998",1851,1.04,101
"289859183489998",1852,1.10,101
"289859183489998",1853,0.92,101
"289859183489998",1854,1.29,101
"289859183489998",1855,0.90,101
"289859183489998",1856,1.12,101
"289859183489998",1857,1.40,101
"289859183489998",1858,1.23,101
"289859183489998",1859,1.46,101
"289859183489998",1860,1.15,101
"289859183489998",1861,1.34,101
"289859183489998",1862,1.00,101
"289859183489998",1863,0.95,101
"289859183489998",1864,0.58,101
"289859183489998",1865,0.66,101
"289859183489998",1866,0.57,101
"289859183489998",1867,0.76,101
"289859183489998",1868,0.78,101
"289859183489998",1869,0.90,101
"289859183489998",1870,0.90,101
"289859183489998",1871,0.72,101
"289859183489998",1872,0.82,101
"289859183489998",1873,0.93,101
"289859183489998",1874,0.84,101
"289859183489998",1875,0.96,101
"289859183489998",1876,0.91,101
"289859183489998",1877,0.83,101
"289859183489998",1878,0.91,101
"289859183489998",1879,0.65,101
"289859183489998",1880,0.79,101
"289859183489998",1881,0.88,101
"289859183489998",1882,0.80,101
"289859183489998",1883,0.62,101
"289859183489998",1884,0.67,101
"289859183489998",1885,0.69,101
"289859183489998",1886,0.69,101
"289859183489998",1887,0.39,101
"289859183489998",1888,0.64,101
"289859183489998",1889,0.75,101
"289859183489998",1890,0.67,101
"289859183489998",1891,0.68,101
"289859183489998",1892,0.49,101
"289859183489998",1893,0.67,101
"289859183489998",1894,0.72,101
"289859183489998",1895,0.88,101
"289859183489998",1896,0.67,101
"289859183489998",1897,0.77,101
"289859183489998",1898,0.79,101
"289859183489998",1899,0.66,101
"289859183489998",1900,0.64,101
"289859183489998",1901,0.51,101
"289859183489998",1902,0.56,101
"289859183489998",1903,0.48,101
"289859183489998",1904,0.60,101
"289859183489998",1905,0.46,101
