TRE_CN,PLT_CN,Year,RW
2976031010690,2976020010690,1935,2.11
2976031010690,2976020010690,1936,1.84
2976031010690,2976020010690,1937,1.93
2976031010690,2976020010690,1938,1.81
2976031010690,2976020010690,1939,1.66
2976031010690,2976020010690,1940,2.3
2976031010690,2976020010690,1941,2.76
2976031010690,2976020010690,1942,2.6
2976031010690,2976020010690,1943,2.67
2976031010690,2976020010690,1944,1.8
2976031010690,2976020010690,1945,1.98
2976031010690,2976020010690,1946,1.49
2976031010690,2976020010690,1947,1.37
2976031010690,2976020010690,1948,1.22
2976031010690,2976020010690,1949,1.5
2976031010690,2976020010690,1950,1.02
2976031010690,2976020010690,1951,1.2
2976031010690,2976020010690,1952,1.84
2976031010690,2976020010690,1953,2.1
2976031010690,2976020010690,1954,1.73
2976031010690,2976020010690,1955,1.98
2976031010690,2976020010690,1956,1.65
2976031010690,2976020010690,1957,1.94
2976031010690,2976020010690,1958,2.36
2976031010690,2976020010690,1959,2.02
2976031010690,2976020010690,1960,2.17
2976031010690,2976020010690,1961,1.96
2976031010690,2976020010690,1962,1.92
2976031010690,2976020010690,1963,3
2976031010690,2976020010690,1964,2.7
2976031010690,2976020010690,1965,2.17
2976031010690,2976020010690,1966,2.34
2976031010690,2976020010690,1967,1.16
2976031010690,2976020010690,1968,0.96
2976031010690,2976020010690,1969,1.72
2976031010690,2976020010690,1970,1.85
2976031010690,2976020010690,1971,1.86
2976031010690,2976020010690,1972,0.85
2976031010690,2976020010690,1973,0.77
2976031010690,2976020010690,1974,0.48
2976031010690,2976020010690,1975,0.76
2976031010690,2976020010690,1976,1.28
2976031010690,2976020010690,1977,1.4
2976031010690,2976020010690,1978,1.07
2976031010690,2976020010690,1979,1.29
2976031010690,2976020010690,1980,1.23
2976031010690,2976020010690,1981,1.94
2976031010690,2976020010690,1982,1.45
2976031010690,2976020010690,1983,1.19
2976031010690,2976020010690,1984,1.66
2976031010690,2976020010690,1985,1.19
2976031010690,2976020010690,1986,0.66
2976031010690,2976020010690,1987,0.85
2976031010690,2976020010690,1988,0.89
2976031010690,2976020010690,1989,0.29
2976031010690,2976020010690,1990,0.37
2976031010690,2976020010690,1991,0.45
2976031010690,2976020010690,1992,1.03
2976031010690,2976020010690,1993,1.2
