CORE_CN,STATECD,COUNTYCD,PLOT,FIADB_PLOT,SUBP,TREE,DIA,MEASYEAR,LAT,LON,ELEV,CNT_HT,CNT_LGTH,CNT_X,PITH,RINGCOUNT,VERIFY,REVISIT,INVYR,PLOT_CN,TRE_CN
295714903489998,16,59,124,NA,1,1,12.4,1991,45.215127,-113.667668,8800,NA,NA,NA,y,120,n,y,1991,3326030010690,3326041010690
295714904489998,16,59,124,NA,1,2,12.2,1991,45.215127,-113.667668,8800,NA,NA,NA,n,118,n,y,1991,3326030010690,3326042010690
295714913489998,16,59,285,NA,2,2,11.4,1991,44.850856,-113.453365,8600,NA,NA,NA,y,116,n,y,1991,3327914010690,3327929010690
289859193489998,30,1,50,NA,2,3,6.6,1997,45.726595,-112.945232,8500,0.6,6,0.6,n,125,NA,NA,1989,2945854010690,2945867010690
295714724489998,16,49,474,NA,4,2,12.5,1995,NA,NA,NA,0.4,2,1.1,n,226,NA,y,NA,3300316010690,3300351010690
295714786489998,16,49,687,NA,4,3,9.1,1995,45.481481,-114.841106,8000,1,6,1,n,89,y,y,1991,3315056010690,3315078010690
289859220489998,30,1,98,NA,1,1,7.2,1997,45.587489,-113.264767,8600,0.8,9.7,1.2,n,56,NA,NA,1989,2946849010690,2946856010690
289859221489998,30,1,98,NA,2,2,10.3,1997,45.587489,-113.264767,8600,1.4,19,1.6,n,97,NA,NA,1989,2946849010690,2946865010690
289859233489998,30,1,118,NA,3,1,10.2,1997,45.540345,-113.09379,8600,0.7,10.7,1,n,130,NA,NA,1989,2947465010690,2947475010690
289859234489998,30,1,120,NA,1,1,9.9,1997,45.555038,-112.97646,8700,1,3.8,0.7,n,136,NA,NA,1989,2947512010690,2947519010690
289859236489998,30,1,121,NA,5,3,5.6,1997,45.534214,-112.930903,8600,2.8,10.7,2.1,n,153,NA,NA,1989,2947562010690,2947586010690
289859247489998,30,1,138,NA,4,1,8.6,1997,45.500755,-112.939999,8100,0.2,2.5,0.2,n,245,NA,NA,1989,2947995010690,2948014010690
289859256489998,30,1,151,NA,4,1,9,1997,45.452682,-113.160886,8500,0.6,7.8,1,n,105,NA,NA,1989,2948316010690,2948333010690
289859269489998,30,1,189,NA,3,1,13.2,1997,45.366483,-113.051611,8700,NA,NA,NA,y,147,NA,NA,1989,2949021010690,2949034010690
289859273489998,30,1,192,NA,2,2,7.3,1997,45.361198,-112.833076,8200,NA,NA,NA,y,92,NA,NA,1989,2949126010690,2949140010690
289859306489998,30,1,391,NA,1,5,6.7,1997,44.876356,-113.172111,8700,0.6,6.9,0.7,n,158,NA,NA,1989,2951263010690,2951274010690
289859312489998,30,1,440,NA,2,3,13.5,1997,44.796005,-112.215794,8600,1.2,14.1,1.1,n,170,NA,NA,1989,2951801010690,2951811010690
289859329489998,30,1,538,NA,2,5,11.2,1997,44.551737,-113.003872,8900,0.8,12.7,1,n,124,NA,NA,1989,2952479010690,2952491010690
289859334489998,30,1,580,NA,4,3,9.1,1997,44.424063,-112.941466,8600,NA,NA,NA,y,55,NA,NA,1989,2952875010690,2952884010690
289859346489998,30,1,371,NA,2,1,7,1988,44.898066,-113.166596,8800,0.6,5.7,1.3,n,128,NA,NA,1989,2951056010690,2951071010690
