Year,CN,RW
1864,20T634,0.44
1865,20T634,0.63
1866,20T634,0.67
1867,20T634,0.61
1868,20T634,0.5
1869,20T634,0.65
1870,20T634,0.74
1871,20T634,0.87
1872,20T634,0.73
1873,20T634,0.72
1874,20T634,0.82
1875,20T634,0.6
1876,20T634,0.47
1877,20T634,0.43
1878,20T634,0.46
1879,20T634,0.45
1880,20T634,0.33
1881,20T634,0.36
1882,20T634,0.3
1883,20T634,0.39
1884,20T634,0.46
1885,20T634,0.47
1886,20T634,0.39
1887,20T634,0.37
1888,20T634,0.51
1889,20T634,0.82
1890,20T634,0.78
1891,20T634,0.64
1892,20T634,0.59
1893,20T634,0.72
1894,20T634,0.64
1895,20T634,0.57
1896,20T634,0.61
1897,20T634,0.69
1898,20T634,0.73
1899,20T634,0.68
1900,20T634,0.54
1901,20T634,0.62
1902,20T634,0.7
1903,20T634,0.62
1904,20T634,0.65
1905,20T634,0.52
1906,20T634,0.61
1907,20T634,0.81
1908,20T634,0.54
1909,20T634,0.66
1910,20T634,0.51
1911,20T634,0.5
1912,20T634,0.22
1913,20T634,0.23
1914,20T634,0.36
1915,20T634,0.39
1916,20T634,0.52
1917,20T634,0.57
1918,20T634,0.73
1919,20T634,0.64
1920,20T634,0.65
1921,20T634,0.51
1922,20T634,0.54
1923,20T634,0.64
1924,20T634,0.55
1925,20T634,0.66
1926,20T634,0.78
1927,20T634,0.7
1928,20T634,0.91
1929,20T634,0.8
1930,20T634,0.96
1931,20T634,0.68
1932,20T634,0.64
1933,20T634,0.49
1934,20T634,0.56
1935,20T634,0.52
1936,20T634,0.65
1937,20T634,0.73
1938,20T634,0.67
1939,20T634,0.52
1940,20T634,0.46
1941,20T634,0.56
1942,20T634,0.6
1943,20T634,0.46
1944,20T634,0.52
1945,20T634,0.51
1946,20T634,0.65
1947,20T634,0.64
1948,20T634,0.67
1949,20T634,0.63
1950,20T634,0.6
1951,20T634,0.6
1952,20T634,0.67
1953,20T634,0.4
1954,20T634,0.5
1955,20T634,0.48
1956,20T634,0.49
1957,20T634,0.61
1958,20T634,0.59
1959,20T634,0.56
1960,20T634,0.59
1961,20T634,0.45
1962,20T634,0.65
1963,20T634,0.58
1964,20T634,0.72
1965,20T634,0.73
1966,20T634,0.63
1967,20T634,0.81
1968,20T634,0.71
1969,20T634,0.87
1970,20T634,0.59
1971,20T634,0.57
1972,20T634,0.6
1973,20T634,0.58
1974,20T634,0.55
1975,20T634,0.48
1976,20T634,0.51
1977,20T634,0.51
1978,20T634,0.65
1979,20T634,0.54
1980,20T634,0.31
1981,20T634,0.56
1982,20T634,0.58
1983,20T634,0.78
1984,20T634,0.86
1985,20T634,0.85
1986,20T634,0.85
1987,20T634,0.94
1988,20T634,0.65
1989,20T634,0.58
1990,20T634,0.48
1991,20T634,0.58
1992,20T634,0.59
1993,20T634,0.69
1994,20T634,0.74
1995,20T634,0.8
1996,20T634,0.71
1997,20T634,0.72
1998,20T634,0.74
1999,20T634,0.76
2000,20T634,0.6
2001,20T634,0.67
2002,20T634,0.45
2003,20T634,0.38
2004,20T634,0.2
2005,20T634,0.37
2006,20T634,0.3
2007,20T634,0.27
2008,20T634,0.29
2009,20T634,0.22
2010,20T634,0.21
2011,20T634,0.29
2012,20T634,0.21
2013,20T634,0.27
2014,20T634,0.29
2015,20T634,0.28
2016,20T634,0.31
2017,20T634,0.3
2018,20T634,0.37
2019,20T634,0.27
